Model,Success Rate,Avg Reward,Avg Latency All (ms),Avg Latency Success (ms),Cloud Usage (%),Resource Utilization (%),Processing Time (ms)
GNN,0.9663048965169106,0.6724116499849826,17.32962167099664,16.85472894664229,0.225262806607709,1.024422993971711,3.515893638289819
GNN+LSTM(3),0.9842597627113918,0.7263817466460122,15.578618846834994,15.303023257152082,0.022121752595849406,0.3738053429012109,4.850162109507278
GNN+LSTM(5),0.9164116828929069,0.6250737126529516,20.114379487909194,19.092127497782396,1.7351724137931033,1.3414419247728198,4.816649529029584
GNN+LSTM(10),0.9731685173545639,0.669996615936159,16.952658665840882,16.552615242116826,0.2645612577048272,0.8853779548361218,4.873677546384056
GNN+LSTM(20),0.9651312655851615,0.6480021736227601,17.233898451759753,16.680895873548412,0.5195743380289517,1.0260544060435546,5.320878346310609
GNN+LSTM(30),0.986193431420403,0.7275661035757006,15.510458484117777,15.267807611271714,0.07191757139893507,0.3733023617785366,6.264740038640221
GNN+Trans(3),0.9569339300402917,0.6727641884511933,17.70401085041607,17.108490441435404,0.4452002709914693,1.0267497061271689,5.875701409969029
GNN+Trans(5),0.9612795549374131,0.6531312943630666,17.326918979771637,16.484342389567388,2.286896551724138,1.2232480678269966,5.576689460359771
GNN+Trans(10),0.9644248900062854,0.678627353695494,17.42912855469103,16.946603655923962,0.2160814460835238,0.9393166015880716,5.636864869628754
GNN+Trans(20),0.957916561598162,0.6478865682851299,17.878196713580888,17.304390134887747,0.3556444666722236,1.1715768511075826,6.161607903971292
GNN+Trans(30),0.9590126211561258,0.647329179354472,17.650835728894187,17.050179122563165,0.6030011755756863,1.2537269054252125,7.110997821176607
Random,0.882129011490392,0.5978098154709046,20.90936240795955,19.22573994950077,4.920126021845637,1.3579640849759944,0.009148859222933505
Greedy,0.9911938891780494,0.7826607007478317,13.319753048178308,13.150381389807306,0.0,0.5877412364547872,0.17496307201487402
Lowest Utilization First,0.960428770379957,0.6814531237550444,17.710450094755164,17.226540016627293,0.0,0.7156907843870521,0.14956969905674847
