Model,Success Rate,Avg Reward,Avg Latency All (ms),Avg Latency Success (ms),Processing Time (ms),Resource Utilization (%),Cloud Usage (%)
GNN,0.7954209919261822,0.4316648114281164,35.62167658204829,28.246034783420765,8.546501726702697,73.6482231636671,18.333333333333332
GNN+LSTM(3),0.8031833910034603,0.44405061884804636,35.50510909005995,28.17507043867608,12.520031926266189,73.65184096058469,18.201845444059977
GNN+LSTM(10),0.830876585928489,0.4939416609241417,35.05127337174868,27.314933204428193,12.272557662295085,73.89770888043546,18.207612456747405
GNN+LSTM(20),0.7953748558246828,0.42959007438633573,35.62632689175926,28.25660924064781,13.289326279496102,73.6404217106609,18.25374855824683
GNN+LSTM(30),0.7730103806228373,0.3952751234304718,35.84846268786024,29.011997475093015,13.476677213160636,73.62102551148449,18.215686274509803
GNN+Trans(3),0.8214186851211073,0.4783293204140468,35.11782525222749,27.276636888334256,12.535469265270123,74.12023819853715,18.27681660899654
GNN+Trans(10),0.8192733564013841,0.47348133567030043,35.169536460176026,27.60875014721294,12.59435332220181,73.79224504801367,18.181084198385236
GNN+Trans(20),0.7943021914648212,0.4310585599365033,35.44152361364586,28.30154971088286,13.655180155612193,73.82813658674596,18.181084198385236
GNN+Trans(30),0.7500115340253749,0.3523915938648011,36.25956231979661,29.63369826959945,14.112345391353797,73.69377825468729,18.277970011534027
