id,x_coord,y_coord,home_compute_node_id,home_x_coord,home_y_coord,assigned_compute_node_id,assigned_x_coord,assigned_y_coord
******莲花街道莲花山关山月背后草地监控杆,114.06169,22.55119,******莲花大厦,114.061827,22.554597,******彩新一佳,114.05941,22.54223
******莲花街道莲花山公园人行道新立杆4,114.05878,22.55233,******莲花大厦,114.061827,22.554597,******莲花大厦,114.061827,22.554597
******莲花街道莲花山公园无编号绿色视频杆,114.06187,22.55206,******莲花大厦,114.061827,22.554597,******宣嘉华庭,114.05891,22.52577
******莲花街道莲花山公园人行道新立杆14,114.05852,22.55889,******中级法院,114.05581,22.56391,******怡色家园,114.05871,22.56706
******莲花街道莲花山公园人行道旁CYX0055新建监控杆,114.05051,22.55258,******彩田莲花,114.058927,22.559718,******水围村,114.05489,22.52697
******莲花山公园垂钓**旁监控杆,114.05343,22.55593,******彩田莲花,114.058927,22.559718,******经贸中心,114.05561,22.54972
******莲花街道莲花山公园人行道新立杆22,114.05001,22.55072,******彩田莲花,114.058927,22.559718,******中级法院,114.05581,22.56391
******莲花街道莲花山公园人行道新立杆10,114.04975,22.55629,******莲花山公园嘉里建设亭子,114.04571,22.56072,********福保益田名园A,114.04272,22.52348
******莲花街道莲花山公园人行道新立杆21,114.04984,22.55438,******莲花山公园嘉里建设亭子,114.04571,22.56072,******布尾村,114.03536,22.56242
******莲花山公园水上游乐场正德亭旁监控杆,114.05311,22.55315,******彩田莲花,114.058927,22.559718,******深大村,114.06236,22.54289
******莲花街道莲花山公园人行道新立杆29,114.05626,22.55979,******彩田莲花,114.058927,22.559718,******深业上城A座,114.06236,22.56217
******莲花街道莲花山公园风筝广场新立杆,114.05637,22.55075,******莲花大厦,114.061827,22.554597,******万佳三店,114.06062,22.54987
******莲花街道景田北三街SKFT0117号视频杆,114.03771,22.55825,******布尾村,114.03536,22.56242,******彩新一佳,114.05941,22.54223
******莲花山公园内登山道5014号灯杆旁,114.05798,22.55665,******第一世界,114.04026,22.55405,******财政局,114.03825,22.55323
******莲花山顶,114.05671,22.55511,******第一世界,114.04026,22.55405,******梅林鸿达J,114.02574,22.56674
******莲花街道莲花山风筝广场监控杆,114.056928,22.550247,******莲花大厦,114.061827,22.554597,******海关科技,114.0577001,22.5476001
******莲花街道莲花山风筝广场东边监控杆,114.05804,22.55031,******莲花大厦,114.061827,22.554597,********医院,114.07091,22.54502
******莲花街道莲花山风筝广场监控杆（新建监控杆）,114.05827,22.55142,******莲花大厦,114.061827,22.554597,******莲花山公园自建机房,114.05575,22.56402
******莲花街道莲花山风筝广场南边监控杆,114.05616,22.54903,******莲花大厦,114.061827,22.554597,******金地中心塔二,114.057001,22.544666
******莲花山南门新立杆,114.05178,22.54966,******第一世界,114.04026,22.55405,******赤尾二坊,114.077102,22.537369
******莲花街道莲花山南门新立监控杆,114.05272,22.54998,******莲花大厦,114.061827,22.554597,******花卉世界,114.06509,22.55826
******莲花街道莲花山南门门口新立监控杆,114.05244,22.54942,******天健大厦,114.039283,22.552601,******世纪豪庭,114.01273,22.54024
******莲花街道新景苑路新立监控杆,114.04441,22.55108,******财政局,114.03825,22.55323,******国际商会,114.0431001,22.54273
******莲丰雅苑北门口10米杆,114.05241,22.56276,********梅林碧华庭居A,114.042652,22.56855,******东方玫瑰,114.03283,22.54606
******莲花中学北校**教学楼,114.06605,22.55126,******莲花大厦,114.061827,22.554597,******莲花大厦,114.061827,22.554597
******梅岗路与梅岗南街交汇处,114.08152,22.56061,******银华大厦,114.07745,22.56291,******市二医院,114.07764,22.56361
******梅华路与北环大道辅道交汇处绿化带,114.03783,22.56109,******莲花地震局自建机房,114.04171,22.55442,******莲花山公园嘉里建设亭子,114.04571,22.56072
******富盛花园西南二号门旁L型路牌,114.03811,22.56481,******绿景虹湾D座,114.03171,22.56658,********莲花梅富村A,114.032133,22.564577
******下梅林围面村55栋,114.03939,22.56243,******梅林鸿达J,114.02574,22.56674,******梅林鸿达J,114.02574,22.56674
******下梅林围面村78号楼,114.03898,22.56181,******梅林鸿达J,114.02574,22.56674,******梅富村,114.03221,22.56411
******茗香苑A栋,114.04011,22.55564,******布尾村,114.03536,22.56242,******围面村109号,114.03559,22.56702
******南园街道华强南路1003号2栋,114.08372,22.53089,******滨河华强立交自建机房,114.07859,22.53981,******赤尾村,114.07721,22.53631
******人才大厦,114.06782,22.54509,******人才大厦,114.06282,22.55009,******人才大厦,114.06282,22.55009
******新洲二街和新洲六街十字路口新立杆,114.04318,22.52159,******新洲中心村J,114.04081,22.52981,******新洲中心村J,114.04081,22.52981
******沙头街道新洲七街凯欣园旁监控杆,114.03949,22.52341,********福保益田名园A,114.04272,22.52348,******新洲中学,114.03478,22.53284
******新洲一街食街大自然东北新概念饭店对面监控杆,114.04451,22.52656,******新洲村,114.03811,22.53161,******新洲村,114.03811,22.53161
******沙尾综合楼B座,114.03822,22.52036,******金海湾花园会所,114.0250163,22.52520212,******福滨苑,114.06951,22.53781
******沙尾东村173号私宅,114.04029,22.51992,******新美域,114.035333,22.527444,******新洲妇幼,114.04049,22.52461
******上围一村145号,114.05969,22.52784,******皇岗上围J,114.05478,22.53384,******皇岗上围J,114.05478,22.53384
******深大村,114.06736,22.53789,******环庆花园J,114.07061,22.54038,******财贸,114.07706,22.542273
******深大村附,114.06737,22.53789,******深大村,114.06236,22.54289,******深大村,114.06236,22.54289
******深南福明,114.078973,22.54002,********大厦,114.074012,22.545288,********大厦,114.074012,22.545288
******深南大道与益田路交汇西北角新建10米杆,114.05255,22.54115,******免税大厦,114.047833,22.54301,******彩田J,114.06039,22.53984
******深业,114.06521,22.54289,******深业,114.06021,22.54789,******特**报社,114.039957,22.54644
******彩田路与福彩路交汇处东北角10米通信杆,114.06506,22.543433,******万佳三店,114.06062,22.54987,******万佳三店,114.06062,22.54987
******深业花园,114.06305,22.54654,******莲花大厦,114.061827,22.554597,******工发路,114.07519,22.55239
