id,x_coord,y_coord,is_active,allocated_boards
ACN_0,53.91399858615566,47.41374934638279,1,11
ACN_1,79.14025269378283,51.124010079705286,1,10
DCN_0,26.973192294759425,50.340711444522256,1,3
DCN_1,47.634902501280585,68.34825220144207,1,3
DCN_10,59.98624449471572,23.454558381468356,1,3
DCN_11,27.083762428007972,11.733482927640114,1,2
DCN_12,34.07664295711506,83.33966088380863,1,3
DCN_13,34.10625814513219,38.60238279769003,1,3
DCN_14,62.81719661232375,52.32846738322686,1,2
DCN_15,26.635889715845366,27.597584441343646,1,1
DCN_16,51.53387433450859,45.4888346717743,1,1
DCN_17,42.46415328174251,87.4346261566774,1,3
DCN_2,25.33303951616495,51.17663445845908,1,3
DCN_3,35.82406603920003,73.9834841527134,1,4
DCN_4,25.71903189685849,64.71031874324458,1,3
DCN_5,25.572745493157548,70.5024738036404,1,1
DCN_6,48.3949302260755,45.549460371739855,1,4
DCN_7,43.096724894790604,50.288658029635414,1,2
DCN_8,20.59092755113713,88.45550401526856,1,3
DCN_9,40.662110565873874,42.626456118211564,1,1
EC_0,21.558789163984425,81.80253940953725,1,18
EC_1,1.4934556497702256,1.4301866595707646,0,0
