request_idx,time,position_x,position_y,compute_demand,max_latency,action,reward,latency,success,used_cloud
0,0.15642269665895303,42.79519740568645,50.602771193276624,18.158425631014783,20,DCN_11,0.772973495007832,6.13513252496084,True,False
1,0.17577776420631058,62.31719688531316,24.634504504903358,20.0,25,DCN_4,0.7883364250565688,6.058317874717156,True,False
2,0.2258559404487568,69.64544072992094,23.505623002470678,20.0,25,DCN_7,0.5892687620573216,7.053656189713392,True,False
3,0.8810850340400357,59.51184265127047,29.102741060279865,20.0,25,ACN_0,0.7899844516337104,6.050077741831448,True,False
4,1.1949516907423736,17.87707975054901,85.55818574794418,17.547507720514684,35,ACN_0,1.3926823972471314,3.0365880137643426,True,False
5,1.4396553227121165,49.53533612333944,54.2970797419181,20.0,30,ACN_0,1.307762385602873,3.461188071985635,True,False
6,1.4705404756964884,19.59828624191452,4.522728891053807,8.346651043346577,30,ACN_0,0.9114831344118624,5.442584327940688,True,False
7,1.7651089300325375,14.833147295832006,0.0,20.0,15,ACN_0,1.1548485564885818,4.22575721755709,True,False
8,1.8389554102011663,52.77414850670202,96.74742734783938,17.68925116484314,20,ACN_0,0.856941169200762,5.715294153996189,True,False
9,2.660498653407561,51.54541006956682,92.89908847950883,12.85001618652154,35,ACN_0,0.883590402332354,5.58204798833823,True,False
10,3.387915957541399,56.41022773834576,96.87706579898854,9.892521882670145,30,ACN_0,1.0113843538567175,4.943078230716412,True,False
11,3.8013035572059723,57.16267312889873,96.30995954225656,15.382842529025758,30,ACN_0,1.0919067672492768,4.5404661637536154,True,False
12,3.896883164867072,53.12020511443279,93.80117432433389,20.0,25,ACN_0,1.1853293618892566,4.073353190553716,True,False
13,4.100146225396459,22.82554595070476,36.35330262846368,16.838935603880245,20,ACN_0,0.9914543451099298,5.042728274450351,True,False
14,4.227723130869232,23.152730069932947,61.03206150191697,16.33254124679059,40,ACN_0,0.9996089065732903,5.001955467133548,True,False
15,4.28769362657521,20.97713608499032,100.0,7.279038323785359,40,ACN_0,1.1768816178821053,4.1155919105894725,True,False
16,4.417821560869035,45.83505130686473,52.08648957284065,14.91652137969762,30,ACN_0,1.2122332138652876,3.938833930673562,True,False
17,4.471245156809041,45.51316105285989,53.811001248064294,20.0,20,ACN_0,1.0151451685342257,4.924274157328872,True,False
18,4.5234221104708645,48.9452760277563,98.56504541106007,20.0,40,ACN_0,0.8319250788928365,5.840374605535817,True,False
19,4.615849749127355,48.718262751322115,99.64972904187178,20.0,30,ACN_0,1.2272574715625892,3.8637126421870533,True,False
20,4.684660451329874,40.96494559599145,99.99254391590192,11.609008097146196,40,ACN_0,1.228434752378278,3.857826238108611,True,False
21,5.604775057264643,39.18122046715048,100.0,16.023569705718582,30,ACN_0,1.0998197125148272,4.500901437425863,True,False
22,5.697067405743944,9.310276780589922,89.72157579533267,20.0,30,ACN_0,1.0078911376459878,4.96054431177006,True,False
23,6.098789500015292,13.913610359155278,88.58796351758586,19.28099667974235,25,ACN_0,0.8291117822789396,5.854441088605302,True,False
24,7.037335244873695,14.666905576571683,88.50938881832363,20.0,25,ACN_0,0.3627015182269626,8.186492408865186,True,False
25,7.46277797656661,26.03363136665909,89.24426207060971,16.42150908218542,40,ACN_0,0.641216181214181,6.7939190939290945,True,False
26,8.204796380316118,39.7057421619678,89.71308922136944,17.815503064942526,40,ACN_0,0.929894216847104,5.35052891576448,True,False
27,8.487677011877745,42.740620709810926,87.96858330750568,20.0,25,ACN_0,1.4920222686202824,2.5398886568985874,True,False
28,9.621291017251764,38.5066521194689,80.39434718407637,16.610930071182782,20,ACN_0,1.0477371457202143,4.761314271398929,True,False
29,9.788630010160825,32.7680522553439,87.34236132480932,6.923500390839532,30,ACN_0,0.9760346270862801,5.1198268645686,True,False
30,9.837597310991542,47.59446527967795,68.07790146849501,5.3456981677280435,30,ACN_0,0.7557893589933806,6.221053205033097,True,False
31,9.865969283246443,39.79167991749161,78.07964191402553,10.889643582049132,35,ACN_0,0.21399828690396427,3.930008565480178,True,True
32,9.978512836684617,59.08332605690107,3.050024993904943,14.056136268421133,15,ACN_0,0.84062226203428,5.7968886898286,True,False
33,10.224730699444288,41.24189313347582,52.345437861086616,20.0,40,DCN_6,1.1900825680730711,4.049587159634644,True,False
34,10.274367270180912,36.95414870517032,56.54546474419876,20.0,15,DCN_6,1.13217097531495,4.33914512342525,True,False
35,10.29435245049048,35.35737331609643,55.52238221681082,20.0,15,DCN_6,0.6744480820304748,6.627759589847625,True,False
36,10.74069158544889,55.43540525114007,61.17207462343522,7.807775790311039,30,DCN_6,0.969827398286369,5.150863008568155,True,False
37,10.78336508171368,54.032130874435964,58.15219502594648,19.048638572789983,20,DCN_6,0.8784932646371899,5.60753367681405,True,False
