Model,Success Rate,Avg Reward per Request,Avg Latency (ms),Cloud Usage (%),Resource Utilization (%)
GNN,1.0,0.9527364453661042,4.984327552421425,5.039804414962321,1998.3844427600627
GNN+LSTM,1.0,0.9383361412157006,4.903211614919169,8.102153580045556,1998.649888376359
Random,1.0,0.7966716834371819,5.664223006979821,7.0572428120642625,1998.5246832363255
