Model,Success Rate,Avg Reward per Request,Avg Latency (ms),Cloud Usage (%),Resource Utilization (%)
GNN,1.0,20.045292750243707,5.019419274803177,7.294715285610621,1997.4589750690357
GNN+LSTM,1.0,20.468043620473043,4.993055211526417,4.085308870716347,1998.0348238346678
Random,1.0,20.129797261047077,5.712731858720872,5.618397271659024,2000.6800701199516
