Model,Success Rate,Avg Reward per Request,Avg Latency (ms),Cloud Usage (%),Resource Utilization (%),Avg Processing Time (ms)
GNN,1.0,0.5211764579874485,4.785635060292476,0.052007196660614416,1996.6207189930656,0.0008002989291096865
GNN+LSTM(3),1.0,0.5217395007480177,4.781447437793385,0.02315109452952254,1999.2127923915002,0.0010973143179286047
GNN+LSTM(5),1.0,0.5254478938469994,4.744642545678291,0.017570317034786634,2000.0276942302971,0.0011025852393569634
GNN+LSTM(10),1.0,0.5215024777289199,4.784056925396491,0.01836594628583088,1995.0033619477417,0.0011138536145871285
Random,1.0,0.37423086098682756,6.007644857181097,5.000930659011722,1994.1787018903683,2.887944357776909e-06
