request_idx,reward,latency_all,latency_success,processing_time,success
30,-1.0081565662671255,112.39576205271241,119.70550967938094,2.1457672119140625e-06,0.1
31,-1.016,112.90606370299618,117.9698711493464,1.71661376953125e-06,0.1
32,-0.9287598393929107,114.7781712536344,114.63423898692683,1.5616416931152343e-06,0.15
33,-0.9241510664134254,114.07009064408064,115.71818133735611,2.574920654296875e-06,0.15
34,-0.852,113.13883020057972,117.62799344538928,1.633167266845703e-06,0.2
35,-1.016,112.92450823732736,124.02826362361199,1.6927719116210937e-06,0.1
36,-1.0118995302868719,112.29173038819222,117.96735632977709,1.5735626220703124e-06,0.1
37,-0.6816941112128797,113.43990940793564,117.68153463251092,1.5377998352050782e-06,0.3
38,-0.5231918635331523,114.67325271211939,117.33073410696632,1.4901161193847656e-06,0.4
39,-0.77,111.39589205727611,116.45261806456037,1.5139579772949218e-06,0.25
40,-1.004212647159369,112.52943851865464,116.3181827986561,1.4662742614746095e-06,0.1
41,-0.760562461198286,115.6283220341779,118.52698000052843,1.6689300537109375e-06,0.25
42,-0.6817941646787306,114.66255041702689,117.64648273482307,1.7642974853515626e-06,0.3
43,-0.847952155231028,115.52568556552369,120.92324940297897,1.5854835510253907e-06,0.2
44,-0.688,114.49730079564009,117.95474385659439,1.5139579772949218e-06,0.3
45,-0.9317234714095269,113.55493811355814,121.10900974969074,1.3828277587890625e-06,0.15
46,-0.852,109.71176149598023,116.0991542532861,1.3947486877441405e-06,0.2
47,-1.0848110198105672,111.22958942693658,113.92910822459946,1.5139579772949218e-06,0.05
48,-0.9260462030432952,111.19260642627894,114.74289032083016,1.5020370483398437e-06,0.15
49,-0.6855164816741199,112.82261492956854,116.35361751035235,1.4662742614746095e-06,0.3
50,-0.852,113.64202191325452,116.55052343563098,1.9431114196777345e-06,0.2
51,-0.7700000000000001,115.00285190378786,116.36251111916265,1.5020370483398437e-06,0.25
52,-0.7700000000000001,115.4335657054692,116.50468083696903,1.4066696166992188e-06,0.25
53,-0.6880000000000001,116.1614643354894,118.39725525820212,1.52587890625e-06,0.3
54,-0.9278818772119702,113.91720739344782,118.91507522671243,1.4781951904296875e-06,0.15
55,-0.852,112.17981927922452,118.76263266447509,1.4901161193847656e-06,0.2
56,-1.0853468838589317,112.26228732355526,119.69786676462024,1.4543533325195312e-06,0.05
57,-1.010511394049367,110.35914108826117,113.02194646114319,1.4543533325195312e-06,0.1
58,-0.9339999999999999,110.94173880004966,116.54406832590246,1.3828277587890625e-06,0.15
59,-0.7632302840392295,112.87241714925179,115.14431256277325,1.442432403564453e-06,0.25
60,-0.8520000000000001,112.06191170269918,111.71229370036988,1.7285346984863281e-06,0.2
61,-0.7700000000000001,113.46520148892225,116.47478535266222,1.442432403564453e-06,0.25
62,-0.9339999999999999,114.21054832251464,115.10238720038897,1.418590545654297e-06,0.15
