Model,Success Rate,Avg Reward,Avg Latency All (ms),Avg Latency Success (ms),Cloud Usage (%),Resource Utilization (%),Processing Time (ms)
GNN,0.9841349226195438,0.7284619881848309,15.782589439048559,15.508956086393257,0.0,0.3584074158547974,3.466662717822735
GNN+LSTM(3),0.983071951202451,0.728349914224807,15.788502862027425,15.51885417293563,0.0027747332787635788,0.3579176023989605,4.873826928831307
GNN+LSTM(10),0.9808825381719452,0.7244328373348096,16.00324149858864,15.733991948869013,0.013878672643748353,0.36715462564455736,4.879277477095251
GNN+LSTM(20),0.9811542661924897,0.7254729823495794,15.982496900603438,15.711689908078457,0.040265474438366054,0.3674078690451603,5.431566850554659
GNN+LSTM(30),0.9844629398307345,0.7285791630390136,15.746006536620971,15.479543971216392,0.07376581441634539,0.3587571955487606,5.931220739330352
GNN+Trans(3),0.9838833783348956,0.7277178917560961,15.772825107010485,15.494411402032364,0.0027747332787635788,0.3542178571677637,5.383945473635091
GNN+Trans(10),0.9749905532307951,0.710384663102835,16.647598327256613,16.33285290493022,0.015266539908123187,0.3809924960529798,6.25679855377916
GNN+Trans(20),0.9837445044944135,0.7264376752537034,15.837714906292039,15.561951607450451,0.044430868345783234,0.39487272044363575,6.374614210468559
GNN+Trans(30),0.9843366222683827,0.7275567643842661,15.77648999323696,15.508801096736052,0.07376581441634539,0.3718353248852625,8.060152458430156
Random,0.8815200155784906,0.596471212045683,21.155390333403073,19.47257927413194,4.891439291527575,1.3596126949360754,0.009086035556042314
Greedy,0.9905394609595088,0.7819730370709584,13.586287323911263,13.41481667007106,0.0,0.5433140596292031,0.17016113825865914
Lowest Utilization First,0.9573504884441267,0.6791338057947884,18.04122402579258,17.54735507771525,0.0,0.7465786312334824,0.1462910242890163
