Model,Success Rate,Avg Reward,Avg Latency All (ms),Avg Latency Success (ms),Cloud Usage (%),Resource Utilization (%),Processing Time (ms)
GNN,0.9017525076073482,0.5452388746080621,23.137588069152727,19.867600292705763,6.819959767545821,11.240793878647267,8.004951014761739
GNN+LSTM(3),0.885449002992421,0.5084382466994083,25.699349805144504,21.314301037503057,9.233990625953352,12.267092245861217,13.213418015201983
GNN+LSTM(10),0.8989332546274824,0.5439068461991461,22.99418642532602,19.789068274183418,6.749731711056292,10.774401190413665,12.736788407559795
GNN+LSTM(20),0.89659953502703,0.5362241418593406,23.735407025526246,20.04358751826952,7.549790283603233,11.180497922953856,13.204491246737016
GNN+LSTM(30),0.8963458957727578,0.5438472470092401,21.921003190747307,19.572015515909595,5.134745480758567,11.643706863106495,12.992233451089376
GNN+Trans(3),0.8888888888888888,0.5222202420082531,23.272503819262305,20.260374820786147,6.43287017777408,12.80850257295839,12.583879420492606
GNN+Trans(10),0.8918075641944597,0.527047935715531,23.942054532564327,20.38585519772331,7.450767236693564,12.834489493036452,12.217473778411858
GNN+Trans(20),0.8975098736730064,0.5353617331895762,24.119622642244057,20.260269125723568,8.023388239215578,12.096462895855844,12.985098981508953
GNN+Trans(30),0.8939694699172445,0.5330524763728319,23.39672878419411,20.064526485810724,6.906399024065654,11.457524432419351,12.784361882261074
Random,0.8289479176812723,0.4046035905205599,26.377465412946645,22.003267910648862,7.057005257565513,22.106491084302025,0.009687051458939258
Greedy,0.978947957001272,0.7146178648440774,14.495988634876529,14.466725488893498,0.0,17.546954584070754,0.18402980717347883
Lowest Utilization First,0.880551323091547,0.5090313682836289,19.647338289462454,19.83285556058668,0.0,27.20965946688827,0.16356862668630043
