Model,Success Rate,Avg Reward,Avg Latency All (ms),Avg Latency Success (ms),Processing Time (ms),Resource Utilization (%),Cloud Usage (%)
GNN,0.993687374749499,0.7546546717326652,13.597525034487562,13.505351464346248,3.3045347802385776,10.267232027344635,0.0
GNN+LSTM(3),0.9942599484683653,0.765426191399444,13.288489423940359,13.205850979841799,4.681936960113857,10.267218603390841,0.0
GNN+LSTM(10),0.9961064987117091,0.7660070674062334,13.190913533867201,13.125036160548321,4.940846537642721,10.265017102366802,0.0
GNN+LSTM(20),0.9932006870884627,0.7646283562784544,13.319867511405501,13.218469623198594,5.556557378487706,10.263044896612419,0.0
GNN+LSTM(30),0.9944317205840252,0.7651728105155786,13.259052642606974,13.175389476462136,6.142549780286761,10.262158100689536,0.0
GNN+Trans(3),0.9948038935012883,0.7635197421570346,13.281641491372676,13.202999007745367,5.419371512364154,10.267218603390837,0.0
GNN+Trans(10),0.9934583452619524,0.7572947431409364,13.5144685113258,13.418421200403076,5.732001290429195,10.265017102366805,0.0
GNN+Trans(20),0.9965216146578872,0.7636130911285921,13.095433513318106,13.03550783889645,6.409737864504426,10.263044896612419,0.0
GNN+Trans(30),0.9935442313197824,0.7538311632170261,13.544231370383248,13.448911949856967,6.9393671722696055,10.262158100689536,0.0
