request_idx,reward,latency,processing_time,success
0,0.5157571083619866,4.8424289163801335,0.003391408920288086,1.0
1,0.5250047165067185,4.749952834932815,0.0029503583908081056,1.0
2,0.472434164529657,5.275658354703429,0.002852988243103027,1.0
3,0.5028343180962185,4.971656819037816,0.0025165557861328127,1.0
4,0.5378208809441498,4.6217911905585005,0.0029000759124755858,1.0
5,0.4982661457846911,5.017338542153089,0.0028497457504272463,1.0
6,0.5096335884084745,4.903664115915254,0.002974390983581543,1.0
7,0.5048559717135203,4.951440282864796,0.0028435230255126954,1.0
8,0.5400239445834176,4.599760554165825,0.0029047489166259765,1.0
9,0.5454328169936473,4.545671830063526,0.0027661800384521486,1.0
10,0.5057707763951159,4.942292236048841,0.0030620813369750975,1.0
11,0.5912819286128352,4.087180713871648,0.0030996084213256838,1.0
12,0.5570653351059996,4.429346648940003,0.0031042098999023438,1.0
13,0.6111158670582977,3.888841329417022,0.003367924690246582,1.0
14,0.5289369369292973,4.710630630707025,0.0031925439834594727,1.0
15,0.5159159201459025,4.840840798540974,0.0031926870346069337,1.0
16,0.5610620386193508,4.389379613806492,0.002981114387512207,1.0
17,0.5506539233248084,4.493460766751914,0.0027911186218261717,1.0
18,0.5442142725191859,4.557857274808141,0.002496075630187988,1.0
19,0.5144107225097849,4.85589277490215,0.0027050495147705076,1.0
20,0.5320856585231647,4.679143414768353,0.002786064147949219,1.0
21,0.5089130341912409,4.910869658087591,0.0028837442398071287,1.0
22,0.547016537437196,4.529834625628039,0.0027883052825927734,1.0
23,0.48123047413566145,5.1876952586433855,0.002882528305053711,1.0
24,0.5472700052866857,4.527299947133143,0.0028652191162109376,1.0
25,0.5051082844314181,4.9489171556858205,0.002821612358093262,1.0
26,0.5037726935999137,4.962273064000862,0.0029775142669677735,1.0
27,0.4708685604314974,5.291314395685025,0.0029799222946166994,1.0
28,0.5205459700189176,4.794540299810824,0.0030053377151489256,1.0
29,0.5372279522981167,4.627720477018833,0.003140759468078613,1.0
30,0.5570165082299503,4.4298349177004965,0.0032126188278198244,1.0
31,0.5171178971624322,4.828821028375679,0.0033118486404418944,1.0
32,0.5408485824080669,4.591514175919331,0.003036046028137207,1.0
33,0.5128463366577499,4.871536633422502,0.0030122995376586914,1.0
34,0.4915407149845069,5.08459285015493,0.002919793128967285,1.0
35,0.506993624799189,4.930063752008111,0.0029364109039306642,1.0
36,0.5193590941401082,4.806409058598918,0.002843952178955078,1.0
37,0.5133196011178315,4.866803988821685,0.002744460105895996,1.0
38,0.43862519149994295,5.61374808500057,0.0024953842163085937,1.0
39,0.5356446340647155,4.643553659352846,0.0026937484741210937,1.0
40,0.47306273179083747,5.269372682091625,0.002786111831665039,1.0
41,0.4415901700222144,5.584098299777855,0.0026816844940185545,1.0
42,0.45791923203437374,5.420807679656263,0.0028561830520629885,1.0
43,0.44426076729321295,5.057392327067871,0.002944064140319824,1.0
44,0.5239041364923012,4.760958635076987,0.0029395580291748046,1.0
45,0.49259841506493746,5.074015849350625,0.0029856204986572266,1.0
46,0.47327869653936067,5.267213034606392,0.003204655647277832,1.0
47,0.459248593522657,5.407514064773429,0.0030862092971801758,1.0
48,0.4759064957005153,5.240935042994847,0.003035449981689453,1.0
49,0.3248634850300101,6.7513651496998985,0.0030633211135864258,1.0
50,0.3799314710771057,6.200685289228943,0.0027352333068847655,1.0
51,0.3986119308395356,6.013880691604643,0.002898859977722168,1.0
52,0.49797450826059286,5.020254917394071,0.0029390811920166015,1.0
53,0.46536901560089544,5.346309843991045,0.0029204607009887694,1.0
54,0.44842488702029926,5.515751129797008,0.0029465913772583007,1.0
55,0.4693501474675972,5.306498525324029,0.0028815507888793946,1.0
56,0.33368293499636004,5.663170650036399,0.0028386592864990236,1.0
57,0.5322137440105283,4.6778625598947166,0.0025483131408691405,1.0
58,0.3578249543912251,5.921750456087747,0.002774620056152344,1.0
59,0.3298993933987737,6.201006066012263,0.002718496322631836,1.0
60,0.4668154497514655,5.331845502485345,0.0028952360153198242,1.0
