request_idx,reward,latency,processing_time,success
0,1.1502371839845928,5.029670811653785,0.004463553428649902,1.0
1,1.3114056106459753,4.705835509403214,0.004549479484558106,1.0
2,1.2997220155256637,4.729914962619114,0.004313826560974121,1.0
3,1.5444408106922458,4.241101519391963,0.003944230079650879,1.0
4,1.4121031675478855,4.506049058953103,0.005020618438720703,1.0
5,1.3928594510253027,4.544008692531925,0.004531598091125489,1.0
6,1.6814914769022749,3.96623090344754,0.00501096248626709,1.0
7,1.7708759781673522,3.7868146543487358,0.004206943511962891,1.0
8,1.4550111286378378,4.418989545558594,0.00411231517791748,1.0
9,1.375237074982211,4.5787787959792245,0.003717327117919922,1.0
10,1.2301904776400476,4.8692753621691045,0.003991270065307617,1.0
11,1.607732762644106,4.113699029037042,0.0037831544876098635,1.0
12,0.9068610721709408,5.515628247710012,0.0038439750671386717,1.0
13,0.9582812885986238,5.413238059656072,0.003674435615539551,1.0
14,1.0590241664333075,5.2150710575637245,0.0031804323196411135,1.0
15,1.4910693985885153,4.35053161324238,0.0034402847290039063,1.0
16,1.173398165591785,4.989867883048136,0.003074193000793457,1.0
17,0.9702541644781215,5.396278333141942,0.003223824501037598,1.0
18,1.3419296528977653,4.652751275120186,0.003245115280151367,1.0
19,0.8311245791472197,5.674589179720693,0.0034958600997924806,1.0
20,1.1545730696738439,5.027570560110676,0.004304170608520508,1.0
21,0.8360673734424904,5.664404207737759,0.004240584373474121,1.0
22,0.7844101935753047,5.767839220259594,0.0044041633605957035,1.0
23,1.079253783856457,5.178219117832396,0.0040154695510864254,1.0
24,1.1629831308290937,5.010979106933254,0.004023003578186035,1.0
25,1.6607268971615088,4.024307419588505,0.0034904003143310545,1.0
26,1.006967196613752,5.331785729329341,0.003862905502319336,1.0
27,1.8435466371386506,3.658531847419227,0.004298877716064453,1.0
28,1.4961654115433252,4.3533336325476775,0.0045633077621459964,1.0
29,1.3667770707320623,4.62392941850972,0.0044684171676635746,1.0
30,1.4355517296933433,4.487667964240259,0.004499983787536621,1.0
31,1.4871864269477864,4.386733726727286,0.003801107406616211,1.0
32,0.5814794429010512,6.195529999197688,0.003518486022949219,1.0
33,0.5097742894037662,6.341989401436598,0.0032306194305419924,1.0
34,0.8119999865886346,5.743386500167377,0.0031191110610961914,1.0
35,1.0767478140608886,5.21153123242354,0.0035994529724121095,1.0
36,1.1855066282845752,4.997121201244837,0.00396115779876709,1.0
37,1.0636719271117592,5.241313756849068,0.004232358932495117,1.0
38,1.5267180333442156,4.316623649880141,0.004101967811584473,1.0
39,1.197245325967776,4.975851749510523,0.0038956403732299805,1.0
40,1.4958840324498932,4.380364626487604,0.003650259971618652,1.0
41,1.3950381706726653,4.581323323476036,0.0034655094146728515,1.0
42,1.0064611989227832,5.36098079163689,0.0034724950790405275,1.0
43,1.0710506877744466,5.2311043443717224,0.0034506559371948243,1.0
44,1.3087179195483558,4.759527679616176,0.0036413908004760743,1.0
45,1.5583323840225023,4.259754899947626,0.0039625406265258786,1.0
46,1.71783640835792,3.941353070027785,0.004091644287109375,1.0
47,0.9410507428717334,5.044726713353292,0.0035127639770507813,1.0
48,1.3840232934145855,4.611708075841155,0.0037186384201049806,1.0
49,1.1445921280922342,5.0990164140085925,0.00393521785736084,1.0
50,1.0157656541272062,5.3560029882058,0.004275465011596679,1.0
51,0.6361319947865521,5.675936482444747,0.004133749008178711,1.0
52,0.5191856144626126,5.910653809771462,0.004242134094238281,1.0
53,0.7923190789140523,5.364742021702465,0.004059696197509765,1.0
54,0.5328840332620037,5.434034796684879,0.003849291801452637,1.0
55,1.1281194192844175,5.14965149342533,0.004006719589233399,1.0
56,0.21812502096655292,6.525247953372554,0.0040557861328125,1.0
57,0.6347942935616986,5.698835077017532,0.003958845138549804,1.0
58,0.8147003764387291,5.3442216467075365,0.0036888360977172852,1.0
59,0.750007482955614,5.922613080044657,0.0034953832626342775,1.0
60,1.1966198438226199,5.030173514218458,0.0033164739608764647,1.0
61,1.511733885255087,4.406175705217398,0.0030342817306518556,1.0
62,0.7190309155720122,5.544562272442443,0.0032117366790771484,1.0
63,0.5361742632314004,5.906526554033858,0.0034717321395874023,1.0
64,1.0909264763762123,5.246724197805491,0.004090738296508789,1.0
65,0.8491961356568638,5.735588080308208,0.003386712074279785,1.0
66,1.0749357071985335,5.282545067501412,0.003709077835083008,1.0
67,1.252186661418724,4.9280198446463555,0.003727412223815918,1.0
68,1.0815618978212784,5.269287112881292,0.003767657279968262,1.0
69,1.2550401427963913,4.922976296505067,0.0038223981857299803,1.0
70,0.9535801505108672,5.526239682834673,0.004211783409118652,1.0
71,1.1169217575099328,5.199520467602673,0.004270100593566894,1.0
72,1.453909201344777,4.525569797703407,0.004632329940795899,1.0
73,1.3301877677838774,4.778854586764287,0.0040297269821166996,1.0
74,1.454420247211756,4.5304043869099715,0.003927373886108398,1.0
75,1.0194395405275607,5.400348741757984,0.003558921813964844,1.0
76,0.896615568103422,5.6450668003908655,0.0033333539962768556,1.0
77,1.1431353126519692,5.155364395034178,0.003158116340637207,1.0
78,0.870677345953869,5.700415581080179,0.0034512042999267577,1.0
79,1.3076914089895721,4.826371334513299,0.003539586067199707,1.0
80,1.0433398812460948,5.355121539207532,0.003695082664489746,1.0
81,1.475163067123548,4.495333816364167,0.004237937927246094,1.0
82,1.3559707015803544,4.733797570141304,0.004174470901489258,1.0
83,1.6934658689248299,4.059950209274711,0.003758883476257324,1.0
84,1.1096309458722253,5.229229226329066,0.0034888744354248046,1.0
