ACN_0,ACN_1,DCN_0,DCN_1,DCN_10,DCN_11,DCN_12,DCN_13,DCN_14,DCN_15,DCN_16,DCN_17,DCN_2,DCN_3,DCN_4,DCN_5,DCN_6,DCN_7,DCN_8,DCN_9,EC_0,cloud_usage
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20141532973555287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20141532973555287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146927265712402,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20141532973555287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28551033874779175,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20141532973555287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4547692135815272,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20141532973555287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5511974301557363,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20141532973555287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6435312534508084,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20141532973555287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7435312534508084,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20141532973555287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8422206806747176,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20141532973555287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4319034747143643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5997923607799698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9268577537301755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.024162760761399116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9268577537301755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.05069898516460691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7254424239946227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.05069898516460691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9254424239946226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.08706262152824329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9254424239946226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.12893498517937663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9254424239946226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.165298621543013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6949542790158113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.20166225790664927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6949542790158113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.22946216509973127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6949542790158113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.27754634966846337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6949542790158113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.31069114444082024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6949542790158113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.3554981880241992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6949542790158113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.3968607965967814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6949542790158113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.43945949441764276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6949542790158113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.4623956961805886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49495427901581135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.45688696889309166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49495427901581135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.5058926626931899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49495427901581135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.5382884316258301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49495427901581135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.5746520679894664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49495427901581135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.609282718475074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49495427901581135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.6456463548387104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49495427901581135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.5980486848089033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49495427901581135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.6203723218183667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49495427901581135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.656735958182003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49495427901581135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.6930995945456394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49495427901581135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.7294632309092758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49495427901581135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.7654804064125269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49495427901581135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.7992508466885418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49495427901581135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.8356144830521782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49495427901581135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.8373474689302071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49495427901581135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.8626023303615594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49495427901581135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.8784027567024051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49495427901581135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.8962241156737605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49495427901581135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.9325877520373969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49495427901581135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.9689513884010332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16788888606560548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.9689513884010332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36788888606560544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931884279034783,0.0,0.0,0.0,0.0,0
0.9325877520373969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5678888860656055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8462611621910763,0.0,0.0,0.0,0.0,0
0.9689513884010332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5678888860656055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8462611621910763,0.0,0.0,0.0,0.0,0
0.9689513884010332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5678888860656055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9063857446561897,0.0,0.0,0.0,0.0,0
0.9689513884010332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9063857446561897,0.0,0.0,0.0,0.0,0
0.9689513884010332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.7678026716208,0.0,0.0,0.0,0.0,0
0.9689513884010332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.7357837784245572,0.0,0.0,0.0,0.0,0
0.9689513884010332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.8357837784245572,0.0,0.0,0.0,0.0,0
0.9689513884010332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.9329312750188103,0.0,0.0,0.0,0.0,0
0.9689513884010332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.9329312750188103,0.2976477653514906,0.0,0.0,0.0,0
0.9325877520373969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.9329312750188103,0.519941158322867,0.0,0.0,0.0,0
0.9689513884010332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.9329312750188103,0.519941158322867,0.0,0.0,0.0,0
0.9689513884010332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.9329312750188103,0.8365982503008191,0.0,0.0,0.0,0
0.9689513884010332,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.8329312750188103,0.8365982503008191,0.0,0.0,0.0,0
0.9325877520373969,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.6760659576623209,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.9329312750188103,0.8365982503008191,0.0,0.0,0.0,0
0.9689513884010332,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.6760659576623209,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.9329312750188103,0.8365982503008191,0.0,0.0,0.0,0
0.9689513884010332,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.9329312750188103,0.8365982503008191,0.0,0.0,0.0,0
0.9689513884010332,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.7819635277900496,0.8365982503008191,0.0,0.0,0.0,0
0.9689513884010332,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8819635277900496,0.8365982503008191,0.0,0.0,0.0,0
0.9689513884010332,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9484090581983274,0.8365982503008191,0.0,0.0,0.0,0
0.9199456946009351,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9484090581983274,0.8365982503008191,0.0,0.0,0.0,0
0.9460026367286364,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9484090581983274,0.6143048573294427,0.0,0.0,0.0,0
0.9823662730922728,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9484090581983274,0.6143048573294427,0.0,0.0,0.0,0
0.9823662730922728,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9484090581983274,0.9206168137723008,0.0,0.0,0.0,0
0.9823662730922728,0.07999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9484090581983274,0.9206168137723008,0.0,0.0,0.0,0
0.9823662730922728,0.1112175473557897,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9484090581983274,0.9206168137723008,0.0,0.0,0.0,0
0.9823662730922728,0.1453410318146824,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9484090581983274,0.9206168137723008,0.0,0.0,0.0,0
0.9460026367286364,0.17996412470273582,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9484090581983274,0.9206168137723008,0.0,0.0,0.0,0
0.9910357707214842,0.17996412470273582,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9484090581983274,0.9206168137723008,0.0,0.0,0.0,0
0.9910357707214842,0.21996412470273585,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9484090581983274,0.9206168137723008,0.0,0.0,0.0,0
0.8617809062057368,0.21996412470273585,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9484090581983274,0.9206168137723008,0.1333333333333333,0.0,0.0,0
0.8981445425693731,0.21996412470273585,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9484090581983274,0.9206168137723008,0.1333333333333333,0.0,0.0,0
0.9345081789330095,0.21996412470273585,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9484090581983274,0.9206168137723008,0.1333333333333333,0.0,0.0,0
0.9708718152966458,0.21996412470273585,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9484090581983274,0.9206168137723008,0.1333333333333333,0.0,0.0,0
0.9708718152966458,0.2599641247027358,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9484090581983274,0.9206168137723008,0.1333333333333333,0.0,0.0,0
0.9708718152966458,0.2999641247027358,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9484090581983274,0.9206168137723008,0.1333333333333333,0.0,0.0,0
0.9708718152966458,0.33996412470273585,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9484090581983274,0.9206168137723008,0.1333333333333333,0.0,0.0,0
0.9708718152966458,0.3799641247027359,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9484090581983274,0.9206168137723008,0.1333333333333333,0.0,0.0,0
0.9708718152966458,0.4199641247027358,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9484090581983274,0.9206168137723008,0.1333333333333333,0.0,0.0,0
0.9708718152966458,0.42584064024384316,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9484090581983274,0.9206168137723008,0.1333333333333333,0.0,0.0,0
0.9708718152966458,0.46099663417933334,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9484090581983274,0.9206168137723008,0.1333333333333333,0.0,0.0,0
0.8894750449401617,0.500874147864506,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9484090581983274,0.9206168137723008,0.1333333333333333,0.0,0.0,0
0.9258386813037981,0.500874147864506,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9484090581983274,0.9206168137723008,0.1333333333333333,0.0,0.0,0
0.9737090076171789,0.4608741478645061,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9484090581983274,0.9206168137723008,0.1333333333333333,0.0,0.0,0
0.9737090076171789,0.5005757953694139,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9484090581983274,0.9206168137723008,0.1333333333333333,0.0,0.0,0
0.9737090076171789,0.5405757953694139,0.0,0.0,0.0,0.0,0.0,0.0,0.8760659576623209,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9484090581983274,0.9206168137723008,0.1333333333333333,0.0,0.0,0
