request_idx,time,position_x,position_y,compute_demand,max_latency,action,reward,latency,success,used_cloud
0,0.23463404498842955,42.79519740568645,50.602771193276624,18.158425631014783,20,DCN_8,20.796477772579305,6.01761113710348,True,False
1,0.26366664630946585,62.31719688531316,24.634504504903358,20.0,25,DCN_2,20.986007451956386,5.069962740218074,True,False
2,0.3387839106731352,69.64544072992094,23.505623002470678,20.0,25,DCN_0,21.01498252297085,4.925087385145748,True,False
3,1.3216275510600535,59.51184265127047,29.102741060279865,20.0,25,DCN_3,20.91114799507692,5.444260024615402,True,False
4,1.7924275361135604,17.87707975054901,85.55818574794418,17.547507720514684,35,DCN_0,20.916322878996926,5.418385605015371,True,False
5,2.1594829840681746,49.53533612333944,54.2970797419181,20.0,30,DCN_0,20.841791101488738,5.7910444925563125,True,False
6,2.2058107135447322,19.59828624191452,4.522728891053807,8.346651043346577,30,DCN_0,20.61190409496415,6.940479525179245,True,False
7,2.6476633950488058,14.833147295832006,0.0,20.0,15,DCN_0,20.29502166228905,8.524891688554751,True,False
8,2.7584331153017487,52.77414850670202,96.74742734783938,17.68925116484314,20,DCN_0,21.09520927731288,4.523953613435604,True,False
9,3.9907479801113412,51.54541006956682,92.89908847950883,12.85001618652154,35,DCN_0,20.225755642956496,8.87122178521752,True,False
10,5.081873936312099,56.41022773834576,96.87706579898854,9.892521882670145,30,DCN_0,20.66059625185193,6.69701874074034,True,False
11,5.701955335808959,57.16267312889873,96.30995954225656,15.382842529025758,30,ACN_0,21.087580436361936,4.562097818190321,True,False
12,5.845324747300609,53.12020511443279,93.80117432433389,20.0,25,ACN_0,21.30964024647618,3.4517987676190964,True,False
13,6.15021933809469,22.82554595070476,36.35330262846368,16.838935603880245,20,ACN_0,21.16435293828277,4.178235308586149,True,False
14,6.341584696303849,23.152730069932947,61.03206150191697,16.33254124679059,40,ACN_0,21.15830173916327,4.208491304183651,True,False
15,6.431540439862817,20.97713608499032,100.0,7.279038323785359,40,ACN_0,20.998800442599606,5.005997787001963,True,False
16,6.626732341303555,45.83505130686473,52.08648957284065,14.91652137969762,30,ACN_0,21.16017296796562,4.199135160171884,True,False
17,6.706867735213565,45.51316105285989,53.811001248064294,20.0,20,ACN_0,21.261820299520952,3.6908985023952368,True,False
18,6.785133165706299,48.9452760277563,98.56504541106007,20.0,40,ACN_0,21.048359099772288,4.758204501138559,True,False
19,6.923774623691036,48.718262751322115,99.64972904187178,20.0,30,ACN_0,21.100968975480324,4.495155122598385,True,False
20,7.026990676994814,40.96494559599145,99.99254391590192,11.609008097146196,40,ACN_0,21.243763630113975,3.7811818494301246,True,False
21,8.407162585896968,39.18122046715048,100.0,16.023569705718582,30,ACN_0,21.167782372545865,4.161088137270678,True,False
22,8.54560110861592,9.310276780589922,89.72157579533267,20.0,30,ACN_0,21.125814632338074,4.37092683830964,True,False
23,9.148184250022942,13.913610359155278,88.58796351758586,19.28099667974235,25,ACN_0,21.084275841337277,4.578620793313612,True,False
24,10.556002867310546,14.666905576571683,88.50938881832363,20.0,25,ACN_0,20.82639587564879,5.8680206217560515,True,False
25,11.194166964849918,26.03363136665909,89.24426207060971,16.42150908218542,40,ACN_0,21.115537405922538,4.422312970387303,True,False
26,12.307194570474179,39.7057421619678,89.71308922136944,17.815503064942526,40,ACN_0,21.169735644966337,4.151321775168308,True,False
27,12.73151551781662,42.740620709810926,87.96858330750568,20.0,25,DCN_0,21.340752823161324,3.2962358841933823,True,False
28,14.431936525877648,38.5066521194689,80.39434718407637,16.610930071182782,20,ACN_0,21.192905092305523,4.03547453847238,True,False
29,14.68294501524124,32.7680522553439,87.34236132480932,6.923500390839532,30,DCN_0,20.968294988553744,5.15852505723128,True,False
30,14.756395966487316,47.59446527967795,68.07790146849501,5.3456981677280435,30,DCN_0,21.038552773426623,4.807236132866889,True,False
31,14.798953924869666,39.79167991749161,78.07964191402553,10.889643582049132,35,ACN_0,20.983885517223996,5.080572413880027,True,False
32,14.967769255026928,59.08332605690107,3.050024993904943,14.056136268421133,15,ACN_0,20.636578710295264,6.817106448523685,True,False
33,15.337096049166435,41.24189313347582,52.345437861086616,20.0,40,ACN_0,21.14015370736075,4.29923146319626,True,False
34,15.41155090527137,36.95414870517032,56.54546474419876,20.0,15,ACN_0,20.75515508264985,6.224224586750742,True,False
35,15.441528675735722,35.35737331609643,55.52238221681082,20.0,15,ACN_0,21.46606914379324,2.6696542810337895,True,False
36,16.111037378173336,55.43540525114007,61.17207462343522,7.807775790311039,30,ACN_0,20.946361938332032,5.268190308339839,True,False
37,16.17504762257052,54.032130874435964,58.15219502594648,19.048638572789983,20,ACN_0,21.07425959642892,4.628702017855398,True,False
38,16.487487133787972,64.97736826427634,4.8058924197033726,17.5134068286489,25,ACN_0,20.92880573967509,5.355971301624534,True,False
39,16.979049631179336,60.06982500903658,7.116409791019726,14.595084948336897,25,ACN_0,21.152902197023742,4.23548901488129,True,False
40,17.78614747424076,61.20474651513332,5.761598480181032,19.705526127950186,25,ACN_0,21.193115254626534,4.034423726867331,True,False
41,17.901914526040297,18.142405709964088,43.34693096055744,15.496348103850398,40,ACN_0,20.643180429712107,6.784097851439462,True,False
42,17.93883933951351,15.031219885432693,41.569487755975636,19.04819943944963,30,ACN_0,20.916450208348966,5.417748958255176,True,False
43,18.7523372425105,18.767687911049002,44.62133908314296,20.0,30,ACN_0,20.12497113732672,6.122035108162652,True,False
44,19.18673557989761,35.881568012110534,94.05007612498372,20.0,40,ACN_0,21.500729379603847,2.496353101980764,True,False
45,19.24115433930097,33.26562754417498,98.79579106388871,20.0,30,ACN_0,20.612118144366605,6.939409278166967,True,False
46,19.580801781159227,31.55268320302175,100.0,20.0,30,ACN_0,20.556769382198805,7.216153089005981,True,False
47,19.657955608430285,29.38616616850895,100.0,20.0,20,ACN_0,20.9555052550649,5.222473724675505,True,False
48,19.790738547590177,27.799322242155736,100.0,20.0,30,ACN_0,21.12889648445644,4.355517577717796,True,False
49,20.119307229041958,23.84072234887784,94.14011572774777,12.416093480365445,35,DCN_0,8.378353729834275,3.108231350828624,True,True
50,20.14828244457492,26.304154767879865,94.58448075840649,12.070431975133339,35,DCN_0,8.44405458510636,2.779727074468206,True,True
51,20.434930770046638,16.820418666965253,97.5799473875522,20.0,15,DCN_0,20.79363714817628,6.03181425911859,True,False
52,20.805152736637158,27.586330954523035,93.74320957311195,14.500806289667205,30,ACN_0,20.985907329434824,5.070463352825888,True,False
53,20.96758944658472,32.74933297461292,84.69255294813188,15.683511951554319,15,ACN_0,21.316176417612244,3.419117911938777,True,False
54,21.232429509663415,6.413040725822048,88.59913610117144,20.0,15,ACN_0,20.91359322953279,5.432033852336058,True,False
55,21.50328076295997,63.32827554172146,40.79707815072725,20.0,30,ACN_0,21.128680640786918,4.356596796065405,True,False
56,21.752885315875623,64.42169100310217,38.375199690880734,16.437919104909216,40,ACN_0,20.96171724408706,5.191413779564702,True,False
57,22.485526860978755,30.97602106296778,22.611148072315203,20.0,20,DCN_7,21.156142722432854,4.219286387835734,True,False
58,23.53829917189949,75.69991321722287,4.689646779121992,9.995092100067707,35,DCN_0,8.49921296512372,2.503935174381399,True,True
59,24.278202712379745,33.35176100462269,82.47772422363833,13.079739539656234,30,DCN_0,21.044860131820556,4.77569934089721,True,False
60,24.723947990935653,48.00459670184751,42.05357786650751,19.724434618249624,30,DCN_0,20.47200791411245,7.639960429437757,True,False
61,24.797254266549793,52.434914503078275,41.36818876129824,14.507071156288085,35,DCN_0,20.70635645682742,6.4682177158628935,True,False
62,25.283799504226334,43.9180023063025,41.09045026681515,14.972103871467574,30,DCN_0,21.092715045709518,4.536424771452414,True,False
63,25.40111084118174,33.043589793037015,51.25116289661124,20.0,30,DCN_0,20.949931427742452,5.250342861287735,True,False
64,26.536597903745918,47.39616402628724,66.75577385210272,20.0,15,ACN_0,20.70933604943616,6.453319752819205,True,False
65,26.55275862211303,51.32633380484765,65.32007336498579,12.563020717426829,20,DCN_0,8.392197009534714,3.0390149523264274,True,True
66,27.35600574402609,50.7646935563935,64.21522536731968,20.0,30,ACN_0,21.12759544764991,4.362022761750444,True,False
67,27.74057798481381,51.72514545955675,72.20078897992373,18.60032845561056,30,DCN_0,21.07864056248438,4.606797187578092,True,False
68,28.09896754091801,59.344082510525794,59.917053695606334,11.596421646220636,35,DCN_0,21.035780955633896,4.821095221830509,True,False
69,28.513984028248554,0.0,3.4970812895815344,7.5,30,DCN_0,8.370006417004225,3.1499679149788724,True,True
70,28.859002239172998,7.6156203863482865,6.191631508004828,13.253688645911636,35,DCN_0,8.422374527155288,2.8881273642235628,True,True
71,30.00853487232724,0.0,6.084256696131527,20.0,25,ACN_0,21.464754727488202,2.676226362558997,True,False
72,30.111780745054528,0.0,9.50746770390737,17.641577929700386,30,DCN_0,8.344793937239842,3.2760303138007885,True,True
73,31.114902776038605,2.5045859381219038,4.619691479914614,20.0,30,ACN_0,21.212079879781864,3.9396006010906848,True,False
74,32.02678350925033,3.5838891790669303,13.164669795858783,20.0,25,ACN_0,20.38982185810069,8.050890709496565,True,False
75,32.11061588563567,2.841132154031683,11.127369107682457,20.0,15,ACN_0,20.425472796129387,7.8726360193530605,True,False
76,32.18534452568304,66.36293600392575,81.39048137536028,17.160387037907594,20,DCN_0,20.598424847847745,7.007875760761271,True,False
77,32.8416202074133,66.79588494129025,80.61209519839989,9.640447241903203,30,ACN_0,20.642384729198206,6.788076354008962,True,False
78,33.53577224656858,48.25797218056752,55.04359444412715,20.0,20,DCN_0,20.78354155342701,6.082292232864949,True,False
79,33.75800294740761,87.72005408131082,39.244510742263536,20.0,30,DCN_0,7.8910464945948995,5.544767527025501,True,True
80,34.2472210655974,78.41550467703759,44.22921108365555,11.638014499768818,40,DCN_0,21.090657359696056,4.546713201519715,True,False
81,34.63859216877902,82.99636100506069,49.68102564212378,20.0,20,ACN_0,21.206528000826772,3.9673599958661336,True,False
82,35.760243834047245,77.53940881859334,45.59601844581931,20.0,25,ACN_0,21.203694196292762,3.9815290185361945,True,False
83,36.10083484588027,66.3153942800568,48.975062096039714,15.248201443883755,30,DCN_0,20.452866774069353,7.735666129653229,True,False
84,36.433948718758444,66.45171780415119,48.299560556465025,12.15429564475505,40,DCN_0,20.472060636604166,7.639696816979171,True,False
85,38.03195328671919,58.05442139414224,45.27424517650551,13.790246204421711,40,ACN_0,21.481218577140712,2.5939071142964325,True,False
86,39.37694755506481,77.80788068007651,29.357304572086242,16.814288316832034,30,DCN_0,21.094829104970636,4.525854475146821,True,False
87,39.84355798358182,72.8598565787836,28.728369971588002,20.0,20,ACN_0,20.997450449215208,5.012747753923961,True,False
88,40.082016276673784,19.008162708183555,56.94846376174366,20.0,20,DCN_0,20.721710814428413,6.391445927857942,True,False
89,41.077798062399935,78.48547915620823,59.1981836905333,15.726089516455062,40,ACN_0,21.267935548037222,3.66032225981388,True,False
90,41.378939237688016,65.00104594150037,58.92670935794424,20.0,25,ACN_0,21.36253317865845,3.187334106707757,True,False
91,41.50323223793961,21.26807843412263,51.51736824068126,20.0,25,DCN_0,20.94775971224022,5.261201438798897,True,False
92,41.54783895676486,17.880247370454093,52.26380105804365,20.0,25,ACN_0,21.318166054013798,3.40916972993101,True,False
93,41.65362417166927,3.654966784809488,47.206694510999924,14.165746807120865,30,ACN_0,21.365147812095124,3.1742609395243866,True,False
94,41.90967327230673,28.88682691312451,44.663474099600066,12.184976610564357,20,ACN_0,21.45693701096812,2.7153149451594016,True,False
