Model,Success Rate,Avg Reward per Request,Avg Latency (ms),Cloud Usage (%),Resource Utilization (%)
GNN,1.0,0.9512090039543092,4.9877840604974955,5.12341839461935,1997.4789195769904
GNN+LSTM,1.0,0.9359490925561575,4.909398579765155,8.217119149080593,1999.5706251548388
Random,1.0,0.7958476699242493,5.671007940283737,7.003898137986238,1997.5512821379778
