req_id,timestamp,position,compute_demand,max_latency,process_time,allocations,home_room,target_room,type,completed,total_latency,is_success,action,reward
REQ_2_a,0.6218151988494913,"(45.913332197347266, 87.551799368502)",20.0,30,10.621333275456479,{'DCN_3': 20.0},DCN_17,DCN_3,adas,False,3.4402736866523993,True,DCN_3,1.31194526266952
REQ_3_a,0.7353369572705198,"(34.74456373055601, 18.315165449593437)",20.0,20,9.355019464398076,{'DCN_6': 20.0},ACN_0,DCN_6,adas,False,4.337649900069625,True,DCN_6,1.132470019986075
REQ_4_i,0.9729649400820415,"(34.654807488546744, 17.039066973701363)",13.544566244043308,40,19.782765758891568,{'DCN_14': 13.544566244043308},ACN_0,DCN_14,infotainment,False,4.162080462452298,True,DCN_14,1.1675839075095404
REQ_5_i,1.4351312583567515,"(33.38568269913941, 11.380493796057639)",10.546800737583254,30,20.35089614986701,{'DCN_17': 10.546800737583254},DCN_11,DCN_17,infotainment,False,6.179428773836689,True,DCN_17,0.7641142452326621
REQ_6_a,1.5297609761885766,"(26.416914839403905, 28.605076203260758)",20.0,30,9.630968024480923,{'ACN_0': 20.0},DCN_15,ACN_0,adas,False,3.892007938598181,True,ACN_0,1.2215984122803638
REQ_7_i,1.5411953158389649,"(77.13958499091022, 18.46763746234884)",15.012742645703133,35,24.129992487480983,{'ACN_0': 15.012742645703133},ACN_1,ACN_0,infotainment,False,6.9739395738817676,True,ACN_0,0.6052120852236464
REQ_8_s,1.7140812030223798,"(81.09216568100182, 14.57567142771606)",24.553141692516427,25,2.040165260460214,{'ACN_0': 24.553141692516427},ACN_1,ACN_0,safety-critical,False,7.950933198435912,True,ACN_0,0.40981336031281757
REQ_9_a,1.942270178948716,"(63.91562081226908, 58.5471957970263)",20.0,30,10.453473123002663,{'ACN_0': 20.0},ACN_1,ACN_0,adas,False,4.971686692883671,True,ACN_0,1.0056626614232655
REQ_10_i,1.9546435994320142,"(70.7716972547224, 54.166217375520795)",16.85414674804029,40,14.247243335580693,{'ACN_0': 16.85414674804029},ACN_1,ACN_0,infotainment,False,3.7773574750987553,True,ACN_0,1.244528504980249
REQ_11_i,2.1502153405857265,"(31.2944930491594, 96.35886403021908)",20.0,40,25.394583762049237,{'ACN_0': 20.0},ACN_0,ACN_0,infotainment,False,5.48480350030724,True,ACN_0,0.9030392999385519
REQ_12_i,2.1631986158882284,"(38.46235292758322, 57.76463310712945)",20.0,30,16.696617296797793,{'ACN_0': 20.0},ACN_0,ACN_0,infotainment,False,3.1450475979863635,True,ACN_0,1.3709904804027273
REQ_13_i,2.396994505941384,"(30.367802138434783, 38.49660310461956)",20.0,30,20.688305011767785,{'ACN_0': 20.0},ACN_0,ACN_0,infotainment,False,3.360651174785719,True,ACN_0,1.3278697650428561
REQ_14_i,2.3987971525279375,"(32.48682006237762, 49.46106311146747)",19.989366450152595,40,20.668523601923944,{'ACN_0': 19.989366450152595},ACN_0,ACN_0,infotainment,False,3.3676412549381056,True,ACN_0,1.326471749012379
REQ_15_i,2.4110435550127387,"(34.78162047209982, 45.95338438448975)",20.0,30,17.83648616482743,{'ACN_0': 20.0},ACN_0,ACN_0,infotainment,False,3.240619116100305,True,ACN_0,1.351876176779939
REQ_16_a,2.813426613350772,"(50.92223541716105, 51.60761153809465)",20.0,20,11.282059909273702,{'ACN_0': 20.0},ACN_0,ACN_0,adas,False,3.2151522672388113,True,ACN_0,1.3569695465522376
REQ_17_a,3.1445907723654036,"(58.52803773213573, 45.99992502268293)",20.0,20,9.537245494196423,{'ACN_0': 20.0},ACN_0,ACN_0,adas,False,3.1029151793798797,True,ACN_0,1.3794169641240241
REQ_18_i,3.2522632221441516,"(56.18693446340871, 39.40928720567464)",20.0,40,20.02335021935704,{'ACN_0': 20.0},ACN_0,ACN_0,infotainment,False,3.866864062428993,True,ACN_0,1.2266271875142012
REQ_19_s,3.3627145112214873,"(58.12266724033336, 53.29574840633853)",20.0,25,2.0383644811223043,{'ACN_0': 20.0},ACN_0,ACN_0,safety-critical,False,2.6713152375645013,True,ACN_0,1.4657369524870996
REQ_20_s,3.7399430618101954,"(42.815411430516846, 40.6976743519112)",22.296501382777507,20,1.9804243887694313,{'ACN_0': 22.296501382777507},ACN_0,ACN_0,safety-critical,False,3.1227236360760324,True,ACN_0,1.3754552727847935
REQ_21_s,3.8646500266081407,"(43.419040515652085, 59.74248175817268)",20.0,25,1.9681309231692126,{'ACN_0': 20.0},ACN_0,ACN_0,safety-critical,False,3.717521848105301,True,ACN_0,1.2564956303789399
REQ_22_i,4.62474537548426,"(27.497889142682528, 46.18021580696717)",20.0,30,21.48526721877297,{'ACN_0': 20.0},ACN_0,ACN_0,infotainment,False,3.9224116056086897,True,ACN_0,1.215517678878262
REQ_23_s,4.920149129414586,"(25.504031301869745, 45.79350907487419)",20.0,25,2.021684036580291,{'ACN_0': 20.0},DCN_0,ACN_0,safety-critical,False,4.310696668662107,True,ACN_0,1.1378606662675785
REQ_24_i,6.038524503812607,"(12.418488711104928, 51.293379511307364)",20.0,35,20.185969054132972,{'ACN_0': 20.0},ACN_0,ACN_0,infotainment,False,5.661175945031072,True,ACN_0,0.8677648109937854
REQ_25_s,6.0453284219315,"(60.361775091985976, 37.379060932683814)",17.82852286602244,20,2.005646265464381,{'ACN_0': 17.82852286602244},ACN_0,ACN_0,safety-critical,False,3.4297320079312765,True,ACN_0,1.3140535984137447
REQ_26_i,6.1420818374561295,"(8.992388440508126, 66.12779594740644)",15.109665322415553,40,17.744760854186314,{'ACN_0': 15.109665322415553},ACN_0,ACN_0,infotainment,False,5.049733899439203,True,ACN_0,0.9900532201121595
REQ_27_a,6.269591321999225,"(2.441299074479198, 64.9691815675057)",31.2617607547653,30,9.882834608066263,{'ACN_0': 31.2617607547653},ACN_0,ACN_0,adas,False,6.516697513180545,True,ACN_0,0.696660497363891
REQ_28_i,6.3892294712487105,"(0.0, 55.55067362096729)",8.018191766889728,30,18.39035454692044,{'ACN_0': 8.018191766889728},ACN_0,ACN_0,infotainment,False,6.080344115777414,True,ACN_0,0.7839311768445172
REQ_29_s,6.481605012302974,"(15.360847088360236, 60.84638902942103)",17.807311097583284,20,1.981631461258386,{'ACN_0': 17.807311097583284},ACN_0,ACN_0,safety-critical,False,4.361952953363707,True,ACN_0,1.1276094093272586
REQ_30_s,6.658212389147456,"(19.211725693480865, 59.14316454291661)",20.0,15,2.058136243871196,{'ACN_0': 20.0},ACN_0,ACN_0,safety-critical,False,4.489704477207487,True,ACN_0,1.1020591045585024
REQ_31_i,6.820619619113711,"(28.74285748217214, 45.73221086551646)",20.0,40,20.817293989919698,{'ACN_0': 20.0},ACN_0,ACN_0,infotainment,False,3.8147506631536983,True,ACN_0,1.2370498673692603
REQ_32_s,6.8690293834824105,"(52.65214441975737, 79.74609209486748)",21.852521480609127,15,1.9950690385961007,{'ACN_0': 21.852521480609127},ACN_0,ACN_0,safety-critical,False,4.76593223486333,True,ACN_0,1.046813553027334
REQ_33_i,7.068740572293182,"(51.82829329175633, 75.983662759818)",11.877979355134666,30,22.58017939011435,{'ACN_0': 11.877979355134666},ACN_0,ACN_0,infotainment,False,3.472179740846883,True,ACN_0,1.3055640518306233
REQ_34_i,7.347471952306704,"(86.34074145344182, 64.80252229462282)",11.67348477259981,30,24.167647481748816,{'ACN_0': 11.67348477259981},ACN_1,ACN_0,infotainment,False,5.058452849397781,True,ACN_0,0.9883094301204436
REQ_35_i,7.58535873138391,"(44.32048702718928, 53.78195579538493)",9.971907934983859,35,18.14163515085999,{'ACN_0': 9.971907934983859},DCN_7,ACN_0,infotainment,False,2.297119963850885,True,ACN_0,1.5405760072298231
REQ_36_a,7.6042518477321215,"(18.543513063179027, 21.00964590004063)",20.0,25,8.746233687131351,{'ACN_0': 20.0},ACN_0,ACN_0,adas,False,5.863702036255252,True,ACN_0,0.8272595927489494
REQ_37_a,7.62075575559267,"(18.482961606986386, 17.82798307102295)",20.0,25,9.935588832958228,{'ACN_0': 20.0},ACN_0,ACN_0,adas,False,5.710496041811434,True,ACN_0,0.857900791637713
