Model,Success Rate,Avg Reward per Request,Avg Latency (ms),Cloud Usage (%),Resource Utilization (%)
GNN,1.0,0.9495074157561497,4.9978722122967145,5.0918141784539745,1998.0518276045107
GNN+LSTM,1.0,0.9345976538776503,4.9280114411737,7.980005788760344,1996.8867100558018
Random,1.0,0.7937362421756471,5.678743344074696,7.060304415982851,1997.421328884068
