request_idx,reward,latency,processing_time,success
0,0.7043912434047999,5.976440792602143,6.470680236816406e-05,1.0
1,0.4328320448244747,6.539265671235748,5.223751068115234e-05,1.0
2,0.2873555269499806,5.992568338449713,3.223419189453125e-05,1.0
3,1.1853216286128354,5.046611794334847,3.275871276855469e-05,1.0
4,1.4140782714233235,4.572667825771736,0.005473542213439942,1.0
5,1.469159431635361,4.463296735567104,0.0051259279251098635,1.0
6,1.4467596699368375,4.508100759178236,0.005137419700622559,1.0
7,1.3553398477276914,4.691251344432824,0.005453681945800782,1.0
8,1.4722919152614962,4.4574121907332955,0.005108284950256348,1.0
9,1.4605789419280573,4.480722649563233,0.0056473731994628905,1.0
10,1.000609369177359,5.400695137831271,0.005787801742553711,1.0
11,1.34159258186331,4.7188068697443315,0.005678415298461914,1.0
12,1.5600312367336904,4.282053801656312,0.005417490005493164,1.0
13,1.3344991166400106,4.733121916821798,0.005598139762878418,1.0
14,1.4593085866512359,4.48347047726444,0.006473827362060547,1.0
15,1.114000775017107,5.174099239243115,0.005884790420532226,1.0
16,1.1653664356112128,5.071399694213951,0.005094385147094727,1.0
17,1.549592534642954,4.302965696092146,0.005129623413085938,1.0
18,1.651672547659124,4.098754461270328,0.005846405029296875,1.0
19,1.0657862614083218,5.270631334163284,0.005239963531494141,1.0
20,1.2320200679575841,4.9381467933733045,0.005082154273986816,1.0
21,1.0251752142847779,5.3518071551616675,0.0049925088882446286,1.0
22,1.1150544207477884,5.172059747515709,0.004885649681091309,1.0
23,1.2110519200653331,4.980061192069549,0.00464785099029541,1.0
24,1.303360149354486,4.795384644667665,0.005010914802551269,1.0
25,1.2566803142946676,4.8887478242335,0.0052661895751953125,1.0
26,1.288098802910975,4.825902390424032,0.005899691581726074,1.0
27,1.2519171036535321,4.898221718416984,0.006055021286010742,1.0
28,1.5295591445355148,4.342958076911878,0.005781006813049316,1.0
29,1.0096298246702817,4.932812848417913,0.006007885932922364,1.0
