Model,Success Rate,Avg Reward per Request,Avg Latency (ms),Cloud Usage (%),Resource Utilization (%)
GNN,1.0,20.0596569451124,5.027379922520695,7.172243029607964,1999.6599325646976
GNN+LSTM,1.0,20.50780740975823,4.831136060904103,4.0247677231358105,1998.4839417294224
Random,1.0,20.1385273128079,5.696357257486426,5.576422406149799,1995.3236257560516
