Model,Category,Success_Rate,Avg_Latency_All,Avg_Latency_Success,Count
All-Cloud,high_latency_tolerance,0.665144596651446,116.74292354791734,117.15387604013735,13140
All-Cloud,low_latency,0.0,113.61945644924745,,22686
All-Cloud,ultra_low_latency,0.0,106.7893119374702,,8933
All-Local,high_latency_tolerance,0.7597412480974125,91.01232994061141,82.99067485669832,13140
All-Local,low_latency,0.3898880366746011,74.50722864355231,12.645473560114175,22686
All-Local,ultra_low_latency,0.7824918840255234,21.33089931013336,6.12113636988684,8933
GNN,high_latency_tolerance,0.9155251141552512,52.73310946127188,46.825729704867655,13140
GNN,low_latency,0.8865379529225073,27.95139597472087,19.04970394161207,22686
GNN,ultra_low_latency,0.24806895779693272,15.706090663661401,9.19809121368367,8933
GNN+LSTM(10),high_latency_tolerance,0.9159056316590564,52.78463727445571,46.92456861156571,13140
GNN+LSTM(10),low_latency,0.8869346733668342,27.701828662004008,18.916096395158625,22686
GNN+LSTM(10),ultra_low_latency,0.5657673793798276,11.846198097461166,8.595932864727718,8933
GNN+LSTM(20),high_latency_tolerance,0.9149923896499239,52.89363478985437,46.98173193824034,13140
GNN+LSTM(20),low_latency,0.8906814775632549,27.786163469696447,19.181357737425415,22686
GNN+LSTM(20),ultra_low_latency,0.37098399193999776,14.087300949727386,9.25086768469532,8933
GNN+LSTM(3),high_latency_tolerance,0.9115677321156773,52.945081932718324,46.767006975680616,13140
GNN+LSTM(3),low_latency,0.8870669135149432,28.05056435182563,19.16425041779083,22686
GNN+LSTM(3),ultra_low_latency,0.28098063360573156,15.257101665903292,9.36933242297943,8933
GNN+LSTM(30),high_latency_tolerance,0.9152968036529681,52.66256423858768,46.7298918532721,13140
GNN+LSTM(30),low_latency,0.8893149960327955,27.668804127854035,18.96285098967913,22686
GNN+LSTM(30),ultra_low_latency,0.2869136908093586,15.156320300067579,8.948020328806615,8933
Lowest Utilization First,high_latency_tolerance,0.9220700152207002,49.82574477781445,44.188716273728026,13140
Lowest Utilization First,low_latency,0.8823062681830204,28.495450436431312,19.38966079457785,22686
Lowest Utilization First,ultra_low_latency,0.4836001343333706,12.64063514763238,9.268609521812582,8933
Random,high_latency_tolerance,0.9020547945205479,54.41339671974657,47.68135184916778,13140
Random,low_latency,0.7889888036674602,37.35258769065975,19.40746684438712,22686
Random,ultra_low_latency,0.43826262173961716,18.71787958385948,9.40096668600367,8933
