Model,Success Rate,Avg Reward,Avg Latency All (ms),Avg Latency Success (ms),Processing Time (ms),Resource Utilization (%),Cloud Usage (%)
Random,0.8300973654066438,0.4274512408866486,26.209305228159504,22.00116811289481,0.008951566200212651,20.115503853018858,6.912943871706759
All-Cloud,0.19868270332187857,-0.8505994494233861,113.60013441864234,117.7226488857692,0.0010020407887531993,0.0,100.0
All-Local,0.8081615120274914,0.381170982471183,38.60586179550374,22.8492321989403,0.14041109183399947,14.373616099804593,25.005727376861397
Lowest Utilization First,0.8791809851088201,0.533709527076737,19.65534784817335,19.858346350597596,0.1559754212697347,21.942209657154137,0.0
GNN,0.9750859106529209,0.7232015492469714,16.201233448429072,16.22032998836538,3.829521917122473,21.942187383559066,0.011454753722794959
GNN+LSTM(3),0.9754868270332188,0.7130646784332473,16.933467503680856,16.915476786913707,5.407892735963015,21.94186739208129,0.0
GNN+LSTM(5),0.9676116838487973,0.7028248881610409,17.349676215418278,17.41546672459262,5.5419436913039135,21.94186739208128,0.0
GNN+LSTM(10),0.965836197021764,0.693099486207069,16.82692194218577,16.867937162825232,5.7571306329685665,21.92540935782278,0.020045819014891178
GNN+LSTM(20),0.9678121420389462,0.7096145597695007,17.054906496543115,17.115039645362014,6.312166442849246,21.93081715618103,0.0
GNN+LSTM(30),0.9666093928980527,0.7029179186333413,16.98319404498832,17.039988344979253,6.897402751896389,21.926245212459058,0.0
GNN+Trans(3),0.9802405498281787,0.7264181422039826,17.486854975034618,17.497139349155052,6.134822756427534,21.94186739208129,0.0
GNN+Trans(5),0.979524627720504,0.7362246428278524,16.375455220991782,16.399940113971034,6.317945075608611,21.940536464372766,0.0028636884306987398
GNN+Trans(10),0.9791809851088201,0.7360287466598001,16.208031576078973,16.211474291786082,6.487505904314581,21.936405436486574,0.0
GNN+Trans(20),0.979438717067583,0.7325636206580367,16.59995599668408,16.617884066709124,7.12863505910762,21.930817156181025,0.0
GNN+Trans(30),0.9789518900343642,0.7279246317240096,16.79763293062621,16.81751576460872,7.768193354994435,21.926245212459065,0.0
