Model,Success Rate,Avg Reward,Avg Latency All (ms),Avg Latency Success (ms),Processing Time (ms),Resource Utilization (%),Cloud Usage (%)
GNN,0.950631053712944,0.6402318255402683,16.595479648839646,16.62189363707683,8.982116968917959,22.06341249656408,0.0
GNN+LSTM(3),0.8951276783093631,0.5465432176802748,18.261473004918773,18.36766136596907,12.772178583422258,22.06279949988928,0.0
GNN+LSTM(10),0.9647783974170825,0.6655531063212335,16.373414915595987,16.352399830245727,12.605586806314937,22.060144334850804,0.0
GNN+LSTM(20),0.9622395068975639,0.6583058722659123,16.50229542414735,16.46455716845519,13.226714657659505,22.05300299725046,0.0
GNN+LSTM(30),0.96496918109774,0.6683236389790619,16.12225757676893,16.081148149669364,13.070708417038711,22.050226782203637,0.0
GNN+Trans(3),0.9617698855297916,0.6553566546821619,16.50217704325298,16.47568612713498,12.486521810039523,22.06279949988928,0.0
GNN+Trans(10),0.9654241267977693,0.6631817139333047,16.55014230891769,16.52416477689783,12.143075658598358,22.0601443348508,0.0
GNN+Trans(20),0.9654828294687409,0.6630244416286845,16.64312637947065,16.62091677258434,12.765020907082654,22.053002997250466,0.0
GNN+Trans(30),0.9642941003815674,0.6648770611625656,16.30416322643949,16.280165588827504,12.653655973669018,22.050226782203648,0.0
Random,0.8294393894922218,0.40040903968729413,26.255937332938068,22.173580584587352,0.008572439031934054,20.370676454186235,6.467566774288231
Greedy,0.9785882007631347,0.7153592576854956,14.422998463808602,14.367466732088793,0.1810020668470933,22.063412496564077,0.0
Lowest Utilization First,0.8788670384502495,0.5017240132561914,19.959492319171407,20.115635420302908,0.15728288918672365,22.06341249656408,0.0
