Model,Success Rate,Avg Reward,Avg Latency All (ms),Avg Latency Success (ms),Cloud Usage (%),Resource Utilization (%),Processing Time (ms)
GNN,0.9793698424606152,0.7315407522426868,14.541741447826173,14.07025340711955,1.6588134799261527,4.303649023285159,3.262084732866094
GNN+LSTM(3),0.9774339316442592,0.7334629454067368,14.588901672531026,14.093074457016215,1.8285492307051985,4.113929188758073,4.623271594058594
GNN+LSTM(10),0.9784105349886187,0.7359023307819345,14.408576321164563,13.954593177231887,1.473500533174535,4.043746246880566,4.924788994935657
GNN+LSTM(20),0.975798282011074,0.7326579746197617,14.588508626889272,14.074888381253812,1.8028928861424973,4.513437267436531,5.396300376349975
GNN+LSTM(30),0.9801863493488998,0.735893324166906,14.425429797069272,13.975117934976629,1.6252922186352,4.1047850318568475,6.058962791942481
GNN+Trans(3),0.9808615117726884,0.7354809920262807,14.441567912278565,14.018819541975136,1.5039054370898597,4.434542936225673,5.3444775120776935
GNN+Trans(10),0.9745423061347037,0.7283664829347821,14.64978302400612,14.088625685684105,2.013599412815577,4.914895311993753,5.620325799811081
GNN+Trans(20),0.9802112099471282,0.7328367118561128,14.256337669623662,13.76604505505505,1.8634480670511002,4.396528010220789,6.590360775564308
GNN+Trans(30),0.9746576111360574,0.7244637048235923,14.652635377214866,14.049888815037317,2.3558388066347544,4.941858325347592,7.239888366102362
Random,0.9052806990519667,0.6225521295652522,19.283329387738355,17.90580778492492,5.43250336754107,12.745464821378286,0.008826168987503389
Greedy,0.9975332520427757,0.7952776157024065,11.927365223396583,11.878630642821438,0.0,6.5223787455416256,0.1709178684700501
Lowest Utilization First,0.9496278854644074,0.6754864680196893,17.74415610786005,17.352656296914294,0.0,14.483338633869971,0.1488991841694769
