request_idx,reward,latency_all,latency_success,processing_time,success
30,0.4597314513233618,29.76218079659551,25.25362008985566,9.059906005859375e-06,0.8
31,0.27424711317782163,32.353597129824465,23.853192733498936,8.416175842285156e-06,0.7
32,0.6946421758407353,26.242069492268836,21.472494998186633,8.416175842285156e-06,0.95
33,0.8034480268965203,18.956773891207284,18.956773891207284,8.618831634521484e-06,1.0
34,0.41083978350745215,25.45370634699382,28.342328761959656,8.666515350341797e-06,0.75
35,0.3001177235249043,25.409237022555562,21.23335683646157,9.775161743164062e-06,0.7
36,0.6557811124034751,22.366317035732656,18.085992079309246,8.654594421386718e-06,0.9
37,0.6075309833797384,33.76316247995264,24.72181883460611,8.33272933959961e-06,0.9
38,0.3630335745432008,25.2153208675715,22.001938546661595,8.571147918701173e-06,0.75
39,0.48332352278105917,28.62249785219982,20.10450711228916,9.894371032714844e-06,0.8
40,0.4593038964957664,27.132387365972363,23.702678568151228,8.52346420288086e-06,0.8
41,0.32925197694942787,42.660910068399446,33.27415204268933,8.83340835571289e-06,0.75
42,0.6666870703320861,24.370329101389135,19.69360482693341,8.33272933959961e-06,0.9
43,0.6324403253127728,21.57569076650786,16.66282848974654,8.296966552734374e-06,0.9
44,0.5449083704021558,34.04360435812751,24.02388764680322,8.463859558105469e-06,0.85
45,0.3695789490968811,24.89619605243459,21.482952866637632,8.380413055419922e-06,0.75
46,0.536085370611458,34.39595459275994,25.67102030171742,8.499622344970703e-06,0.85
47,0.24435067639522381,44.76445276142793,35.22169981700011,8.153915405273438e-06,0.7
48,0.4552049275303851,25.809610968244066,20.595696504959804,8.189678192138672e-06,0.8
49,0.31697162094057274,42.72793756773533,26.285489117874818,8.499622344970703e-06,0.75
50,0.4522065153299669,30.969776328894728,22.09128993849806,8.27312469482422e-06,0.8
51,0.26601907770034183,28.48970772342964,25.421589594703498,8.034706115722657e-06,0.7
52,0.5120251435352717,38.54876903246001,25.51275033138476,8.058547973632812e-06,0.85
53,0.46440729834491234,38.822885429614914,36.66256864303759,7.963180541992187e-06,0.85
54,0.3269676177984625,36.505914141584135,24.26529109017815,8.249282836914063e-06,0.75
55,0.4006375504981216,38.823495860678335,32.41113455346379,8.046627044677734e-06,0.8
56,0.574256925473582,24.74108648338891,20.692403954283773,8.52346420288086e-06,0.85
57,0.4675224630397459,37.13843784828147,28.229058161891075,8.654594421386718e-06,0.85
58,0.35317542199490576,33.26321648104046,25.647453153539566,8.141994476318359e-06,0.75
59,0.42061026036161414,37.96445473163172,24.82771177017579,8.20159912109375e-06,0.8
60,0.1507593916505368,36.91909509911601,17.691328505231397,8.33272933959961e-06,0.65
61,0.6668215050914877,39.45798293751144,35.71120791749199,8.33272933959961e-06,0.95
62,0.2603789696740823,43.25110596830643,27.593576706625523,8.153915405273438e-06,0.7
63,0.5118131000052836,26.576743717742563,22.77010174123267,7.927417755126953e-06,0.85
64,0.22475751891503098,40.028045681174625,29.726369943080016,8.249282836914063e-06,0.7
65,0.23364441925980958,23.30856196801297,18.16090819405631,8.356571197509765e-06,0.65
66,0.2103900195183038,43.77395686740758,33.770488875297005,8.392333984375e-06,0.7
67,0.30335962905819536,27.439655847356864,19.317566079232012,8.249282836914063e-06,0.7
68,0.5494431115586579,28.667913250480257,25.007323299278077,8.165836334228516e-06,0.85
69,0.656186572669999,24.296522006324246,19.734210781982174,8.046627044677734e-06,0.9
70,0.39443981728269306,32.86296492950639,24.893627070732453,8.118152618408202e-06,0.8
71,0.23258625858443302,42.69200227871207,26.768762653929294,8.416175842285156e-06,0.7
72,0.626518598169263,44.65405883132918,40.9005884074165,8.070468902587891e-06,0.95
73,0.463823334660961,29.283050281136724,20.22342617730041,8.20159912109375e-06,0.8
74,0.5899523330945866,32.86137731760019,28.452759666178604,8.308887481689453e-06,0.9
75,0.5240253681871528,28.37272568043378,18.725230652202587,8.33272933959961e-06,0.85
76,0.39303622336497435,33.78739877860948,25.813316536898284,8.141994476318359e-06,0.8
77,0.47181763384492276,28.918830593425646,19.064734832198354,8.094310760498048e-06,0.8
78,0.5420365510402397,35.73815536559435,26.83572403517522,8.177757263183593e-06,0.85
79,0.2667871660632599,39.56326850411839,21.783345787847367,8.356571197509765e-06,0.7
80,0.5294105628255215,31.65785545168988,22.177544023436756,8.606910705566407e-06,0.85
81,0.30375720399892836,45.076403272378805,29.182700895513335,8.797645568847656e-06,0.75
82,0.26414423778474816,43.59429178118428,35.455476027787185,8.821487426757812e-06,0.7
83,0.5138273770647943,30.226044775473206,27.50268153596347,8.797645568847656e-06,0.85
84,0.3791562951405583,45.39702729771309,34.673098712674324,8.845329284667969e-06,0.8
85,0.42674283906611016,36.600075804388574,29.595984922709505,8.344650268554688e-06,0.8
86,0.4005486372676331,38.10542075278174,31.46067451743614,8.320808410644531e-06,0.8
87,0.4360866367388022,36.14816644266355,29.18698721667436,8.153915405273438e-06,0.8
88,0.21254711904172816,46.753844057210685,32.33488394158644,7.987022399902344e-06,0.7
89,0.27605356542044535,53.752067126951694,34.131039944161266,8.535385131835937e-06,0.75
90,0.12699062623853066,49.19666587169942,35.18467325229556,8.0108642578125e-06,0.65
91,0.051827756120639355,47.31510513267874,29.19678868574417,7.987022399902344e-06,0.6
92,-0.3139813938829069,61.04045939960014,28.841246544452467,7.963180541992187e-06,0.4
93,0.21105982750762725,31.88286825147265,24.32563156752838,8.726119995117188e-06,0.65
94,0.15302280942360777,43.404166794013335,40.73015620375998,8.058547973632812e-06,0.65
95,0.17438102025729313,42.63728035616316,34.792811929981916,7.987022399902344e-06,0.65
96,0.3376036635889485,43.41221807538393,31.474708430176822,8.034706115722657e-06,0.75
97,0.056941627368297706,48.56696051555485,36.344140963054336,8.654594421386718e-06,0.6
98,0.19662281844672794,39.1749401633628,20.64391533374726,8.749961853027344e-06,0.65
99,0.2557994936269062,43.339034781397956,25.03831627115818,8.296966552734374e-06,0.7
100,0.26147404602007296,39.97089528087286,29.070030591849456,8.451938629150391e-06,0.7
101,0.3458887333674996,27.93390354389585,18.87785195007834,8.690357208251954e-06,0.75
102,0.23121656973850285,47.02593053693494,31.638201347882564,8.177757263183593e-06,0.7
103,0.22254565634010529,52.495872435933016,32.85155285731984,8.034706115722657e-06,0.7
