request_idx,reward,latency_all,latency_success,processing_time,success
30,-0.755016059810895,114.50925543833068,116.92017507648939,8.821487426757813e-07,0.25
31,-0.8378431557037859,115.21467241296776,118.24751334600526,8.463859558105468e-07,0.2
32,-0.842680112091117,114.66463134076643,121.10224899328345,9.179115295410156e-07,0.2
33,-0.9339999999999999,113.53497276413331,119.1210913596009,9.417533874511719e-07,0.15
34,-0.7471690739747483,113.69148292605834,121.09178022070338,7.867813110351562e-07,0.25
35,-1.098,113.43910182231551,117.72127889915897,8.702278137207031e-07,0.05
36,-0.9339999999999999,112.22604198552983,115.96571839537073,8.106231689453125e-07,0.15
37,-0.7621985168888898,114.20758534575225,118.55520718206678,8.821487426757813e-07,0.25
38,-0.6880000000000001,109.81078859453726,115.81595189896888,8.821487426757813e-07,0.3
39,-0.9298734400198436,112.23921308632787,124.30787665213136,9.179115295410156e-07,0.15
40,-1.0053323309568225,111.56104042001411,117.14727487189072,8.702278137207031e-07,0.1
41,-0.9242611829103335,113.22475716228196,116.4633478560708,8.463859558105468e-07,0.15
42,-0.7658414745312208,113.36540056084326,114.04134271015191,8.821487426757813e-07,0.25
43,-0.8511337445818812,112.16715362317636,116.12767447378546,8.702278137207031e-07,0.2
44,-0.6871235859517582,115.09768749282114,118.86252871663935,8.225440979003907e-07,0.3
45,-0.834598315852347,112.66183695827299,116.60522611316141,9.059906005859375e-07,0.2
46,-0.8362154799339313,114.9010207055265,118.61681946270537,9.059906005859375e-07,0.2
47,-0.7622996570162522,114.68039862597189,120.06758141134847,7.748603820800781e-07,0.25
48,-0.6034778617000175,113.88292236632631,116.83495549050397,8.225440979003907e-07,0.35
49,-0.6839392408076792,112.98963270126815,118.58331647415598,8.463859558105468e-07,0.3
50,-0.8520000000000001,112.06332483371253,117.16743410055233,8.106231689453125e-07,0.2
51,-0.9298363675844957,112.31098801559907,115.15933373455016,9.179115295410156e-07,0.15
52,-0.7588051339109272,113.18283659521617,116.39711329784157,8.463859558105468e-07,0.25
53,-0.7709227233857163,113.53582144439349,119.66058140920659,7.987022399902344e-07,0.25
54,-0.9257772822875822,112.16603473773554,117.13878837791977,8.225440979003907e-07,0.15
55,-0.8358898247583992,113.86831496412306,115.72753187042495,8.702278137207031e-07,0.2
56,-0.8457841685164516,113.29339584765762,118.69189051717709,7.867813110351562e-07,0.2
57,-0.6766788107206313,112.38795259257036,117.36123742806876,8.344650268554688e-07,0.3
58,-0.688,113.253144013369,115.05549204725963,8.940696716308594e-07,0.3
59,-0.7700000000000001,113.60052594571559,114.77779396692623,8.940696716308594e-07,0.25
60,-0.8493682248671475,112.01776770670708,115.02643100980731,7.748603820800781e-07,0.2
61,-0.6868566520972677,114.16609789056879,117.46968434335838,7.987022399902344e-07,0.3
62,-0.8520000000000001,112.92849308033178,115.51557131757998,8.940696716308594e-07,0.2
63,-0.9272177962747555,114.56638324545159,114.71568891366222,9.298324584960937e-07,0.15
64,-0.9339999999999999,114.51072254521254,112.51031534611143,8.106231689453125e-07,0.15
65,-1.1047810796600566,112.62958855608065,138.4763495750706,8.225440979003907e-07,0.05
66,-0.6754827310657825,113.0153952684877,117.4630260161991,8.225440979003907e-07,0.3
67,-1.0842885805040274,112.33618326867865,119.43199492979382,8.106231689453125e-07,0.05
68,-1.016,112.49123626715064,114.6511135866962,8.225440979003907e-07,0.1
69,-0.8421411677979742,112.27164259623783,113.79544614638112,8.940696716308594e-07,0.2
70,-0.7700000000000001,111.24186323700121,113.1698540262217,8.344650268554688e-07,0.25
71,-0.8504714773231511,111.95930921366292,114.92642517113467,8.702278137207031e-07,0.2
72,-0.6880000000000001,114.19396677729324,120.16006714641303,8.225440979003907e-07,0.3
73,-0.8432092273470175,113.02248828887915,118.32712640874722,8.58306884765625e-07,0.2
74,-0.9234462981746431,112.33196074783719,115.79492571249898,8.58306884765625e-07,0.15
75,-0.9950014312915529,111.7127756826887,114.67066389739529,8.58306884765625e-07,0.1
76,-0.6880000000000001,112.18453190792097,119.31361336210584,8.702278137207031e-07,0.3
77,-0.9335131332605833,114.09861951632908,118.3724627780223,8.344650268554688e-07,0.15
78,-0.84889067200795,115.85472123528184,118.24920142565414,7.748603820800781e-07,0.2
79,-1.0034430176381788,114.32868215881395,118.99113029896272,8.344650268554688e-07,0.1
80,-0.849183849557944,115.31991630150219,119.62001919442186,8.225440979003907e-07,0.2
81,-0.8407263383090744,113.5922666895087,116.42554994701634,8.940696716308594e-07,0.2
82,-0.7641381649241262,113.24824421147783,116.8426987551697,9.417533874511719e-07,0.25
83,-0.9325929103986133,113.48580654528924,122.30378056370243,8.225440979003907e-07,0.15
84,-0.6880000000000001,110.92526163132922,115.7070546684239,9.179115295410156e-07,0.3
85,-0.852,111.35749998753363,111.56142041936567,8.463859558105468e-07,0.2
86,-0.7463523852640217,111.6320510045279,113.62165531722974,8.463859558105468e-07,0.25
87,-0.7562657127541396,111.90313146201069,116.26633804222658,9.298324584960937e-07,0.25
88,-0.8406880768886476,112.36449633313366,114.33196783902993,8.702278137207031e-07,0.2
89,-0.8451248799801316,114.59533038178786,117.46220113815512,9.059906005859375e-07,0.2
90,-0.7660909819365387,114.67215220810559,116.16178933832082,8.940696716308594e-07,0.25
91,-0.9339999999999999,112.26665674954582,119.69948823732166,8.58306884765625e-07,0.15
92,-0.9247415093564056,112.63308628230618,114.50737839382498,9.298324584960937e-07,0.15
93,-0.9339999999999999,111.43953028613188,117.14228694831628,8.58306884765625e-07,0.15
94,-0.6877462307509262,113.70505531875008,118.41821629870435,9.179115295410156e-07,0.3
95,-0.7676756233674356,112.62388202156419,114.64498761914918,8.463859558105468e-07,0.25
96,-0.8471122217563753,113.80532449753896,113.90194193238497,8.58306884765625e-07,0.2
97,-0.7700000000000001,113.25823859675782,115.48916628513834,8.463859558105468e-07,0.25
98,-0.9139219487678186,114.86322199433805,115.32693035438366,8.58306884765625e-07,0.15
99,-0.9339999999999999,113.89636632980046,115.59350613392184,8.106231689453125e-07,0.15
100,-0.8548307864139002,114.08019745768361,122.37402971490935,8.225440979003907e-07,0.2
101,-1.1732132988591395,111.79787042684113,,7.987022399902344e-07,0.0
102,-0.9245412546603481,111.93757105923687,112.81813282178184,8.940696716308594e-07,0.15
103,-0.9333526672781755,113.30641643105555,117.05094393006736,9.179115295410156e-07,0.15
104,-0.8460977041730373,112.47746979526532,114.55429958557536,9.059906005859375e-07,0.2
105,-1.0072257005230245,111.88702691832528,110.25492266215741,9.298324584960937e-07,0.1
