Model,Success Rate,Avg Reward per Request,Avg Latency (ms),Cloud Usage (%),Resource Utilization (%)
GNN,1.0,0.9519501007603388,4.985704186823012,5.0909061875035295,1995.967329858659
GNN+LSTM,1.0,0.9373824650652836,4.908063277820472,8.100487937063109,1997.454692197206
Random,1.0,0.7957563966266806,5.676828622767557,6.896611777242444,1998.7868695296418
