Model,Success Rate,Avg Reward,Avg Latency All (ms),Avg Latency Success (ms),Processing Time (ms),Resource Utilization (%),Cloud Usage (%)
Random,0.8282984859408796,0.3981624834406126,26.365405767624868,22.18055832191422,0.009239797722803403,20.31175364647703,6.609949531362654
All-Cloud,0.19479452054794522,-0.857055709890237,113.87857392471581,118.10166300620546,0.0009650348671581045,0.0,100.0
All-Local,0.8468853640951695,0.44977767027529336,33.19508437893353,20.679605041983663,0.1465384050849194,15.996329425900807,19.316510454217735
Lowest Utilization First,0.8772530641672674,0.49863214110247045,19.979031141419515,20.14336251799703,0.16249408632538348,22.03755244422951,0.0
GNN,0.9502883922134102,0.6393511330763405,16.58802165229146,16.61788276734453,4.121324407512882,22.03755244422951,0.0
GNN+LSTM(3),0.8953064167267484,0.546438453620772,18.248267544190934,18.348541117079915,5.955829391740773,22.03724593925884,0.0
GNN+LSTM(10),0.9646863734679164,0.6652166051750318,16.35392510317761,16.330895724300454,6.187309599988479,22.03591851320915,0.0
GNN+LSTM(20),0.9618385003604902,0.6574086037327938,16.495798518874647,16.457708865893007,7.008723076419513,22.03234821777041,0.0
GNN+LSTM(30),0.9645421773612113,0.6676248070462958,16.107014034718958,16.065238428919947,7.6276142836132745,22.030960123121705,0.0
GNN+Trans(3),0.9614708002883923,0.6546620471888316,16.489219599679288,16.464704281809265,6.790269753360542,22.037245939258835,0.0
GNN+Trans(10),0.9651982696467195,0.6626953313378949,16.53505272715347,16.51017256198911,7.00970598150692,22.035918513209147,0.0
GNN+Trans(20),0.9655515501081471,0.6629385767185313,16.62560183036946,16.60081926520874,7.8425612514966145,22.032348217770405,0.0
GNN+Trans(30),0.964592645998558,0.6649220225554634,16.293938930365858,16.271565205025496,8.477977097421219,22.030960123121705,0.0
