Model,Success Rate,Avg Reward,Avg Latency All (ms),Avg Latency Success (ms),Cloud Usage (%),Resource Utilization (%),Processing Time (ms)
GNN,0.7245727094424208,0.2701327679488901,44.412951251460875,30.98643461111013,27.436682438074033,43.73333599870218,8.047809112446906
GNN+LSTM(3),0.723357908847185,0.2691717533812655,44.463010363441235,30.912404550533626,27.525521526853087,44.114497122545515,12.562723764037747
GNN+LSTM(10),0.7289034611640164,0.2784481121659696,44.39829350601379,30.965658303089874,27.535764703266896,45.120680695788664,12.742797722275883
GNN+LSTM(20),0.72393721021172,0.27067392339072555,44.231086383128556,30.82627887684383,27.328117196603962,44.96948566507904,12.782191060688934
GNN+LSTM(30),0.7227158983484402,0.26937990327927275,44.00961777297002,30.90678399218577,26.988896867922445,44.89306774973347,13.734500178880918
GNN+Trans(3),0.7278038427167114,0.27513243850899227,44.920739072781,31.081392335328637,28.245672436750997,46.90437335211908,14.730056232735151
GNN+Trans(10),0.7259939796112485,0.2701545433055695,45.095500513187076,31.151628613355236,28.312750797550102,46.24182345199289,10.936962148696214
GNN+Trans(20),0.7235461706049942,0.2694348346054537,44.43250108861359,30.995869964586735,27.580045502469343,45.04579353316978,15.607640724865858
GNN+Trans(30),0.7194350219651894,0.264383871397731,43.83344322391009,31.050826237690014,26.65635530022648,45.26595339221961,15.438574653616639
Random,0.7277640397891934,0.2912416353560664,42.1622053283252,29.80253277100196,24.777984017072168,61.58407941077078,0.010239181097106767
Greedy,0.8736502766375156,0.5782402799727921,33.46339805188897,24.666961037573692,17.720060278344118,65.94192653990987,0.18362635290059476
Lowest Utilization First,0.7871006603605212,0.42093011071982445,35.893176035129486,28.111600579070966,18.128933605176847,69.26711735955107,0.17761945322931325
