Model,Success Rate,Avg Reward per Request,Avg Latency (ms),Cloud Usage (%),Resource Utilization (%),Avg Processing Time (ms)
GNN,1.0,1.2084359532236366,4.964340364402317,1.531401783898558,1995.8911953023282,0.0006672828824669812
GNN+LSTM(3),1.0,1.1107541485784809,5.044354104296292,3.2744313934951275,1999.6838910877543,0.0009011025686152136
GNN+LSTM(5),1.0,1.0943461376532362,5.072690903662687,2.893529336481689,1997.5918202132775,0.0009064596802678533
GNN+LSTM(10),1.0,1.1209668015319743,5.029602780177081,3.1410419563739636,2000.2931053430038,0.0009063608872480061
Random,1.0,0.5611100154285823,6.066222003626876,5.8925838530502785,1994.2346049032506,2.4944127411120283e-06
