Model,Success Rate,Avg Reward per Request,Avg Latency (ms),Cloud Usage (%),Resource Utilization (%),Avg Processing Time (ms)
GNN,1.0,1.040944049407101,5.253434541944448,2.3376011766780307,1998.565408297526,7.833611934641001e-05
GNN+LSTM(3),1.0,0.8773355455184666,5.379507039565488,5.829918057920076,1998.0739910222965,9.313555079173464e-05
GNN+LSTM(5),1.0,0.8642341389702477,5.39367385414333,6.435511161602328,1998.0813019414227,9.223464135100667e-05
GNN+LSTM(10),1.0,0.8798225343796512,5.391047807316829,5.839313930477729,1998.513645466077,9.14921121375191e-05
Random,1.0,0.5140360307163174,6.1102697508796515,7.030089854679086,1997.323731309498,2.432088812365021e-07
